cluster_id	dup_class4	chrom	n_members	members	n_links_total	n_distinct_elem_total	n_enhancer_elem_min	n_enhancer_elem_max	n_enhancer_elem_sum	n_shared_enhancer_any	n_shared_enhancer_in_window	shared_frac	mean_open_enh	per_member
clust0063	clustered_SSD_tandem	chr19	3	ZSCAN5B,ZSCAN5C,ZSCAN5A	22	22	0	21	21	0	0	0.0	11.71580476190476	ZSCAN5B:links=0,enh=0;ZSCAN5C:links=0,enh=0;ZSCAN5A:links=22,enh=21
clust0064	clustered_SSD_tandem	chr19	2	ZSCAN1,ZSCAN18	13	13	0	12	12	0	0	0.0	18.8158	ZSCAN1:links=0,enh=0;ZSCAN18:links=13,enh=12
clust0020	clustered_SSD_tandem	chr19	2	ZNF497,ZNF837	18	18	0	17	17	0	0	0.0	12.272947058823528	ZNF497:links=18,enh=17;ZNF837:links=0,enh=0
clust0060	clustered_SSD_tandem	chr2	4	SP110,SP140,SP140L,SP100	61	35	11	16	57	14	14	0.4	12.320259356060607	SP110:links=16,enh=15;SP140:links=12,enh=11;SP140L:links=16,enh=15;SP100:links=17,enh=16
clust0074	clustered_SSD_tandem	chr21	2	OLIG2,OLIG1	0	0	0	0	0	0	0	nan	nan	OLIG2:links=0,enh=0;OLIG1:links=0,enh=0
clust0065	clustered_SSD_tandem	chr6	2	ZNF165,ZSCAN16	26	17	12	12	24	9	6	0.5294117647058824	12.753095833333333	ZNF165:links=13,enh=12;ZSCAN16:links=13,enh=12
clust0066	clustered_SSD_tandem	chr6	3	ZSCAN31,ZSCAN12,ZSCAN23	36	20	8	13	33	9	5	0.45	14.442355448717953	ZSCAN31:links=13,enh=12;ZSCAN12:links=14,enh=13;ZSCAN23:links=9,enh=8
clust0075	clustered_SSD_tandem	chr7	2	TWIST1,FERD3L	19	19	0	18	18	0	0	0.0	14.620594444444444	TWIST1:links=19,enh=18;FERD3L:links=0,enh=0
clust0026	clustered_SSD_tandem	chr7	2	ZNF107,ZNF138	36	27	16	18	34	9	0	0.3333333333333333	16.99888055555556	ZNF107:links=17,enh=16;ZNF138:links=19,enh=18
clust0037	clustered_SSD_tandem	chr7	2	GTF2IRD1,GTF2I	14	14	0	13	13	0	0	0.0	16.53096923076923	GTF2IRD1:links=0,enh=0;GTF2I:links=14,enh=13
clust0027	clustered_SSD_tandem	chr7	2	REPIN1,ZNF775	35	21	16	17	33	14	11	0.6666666666666666	11.813645772058823	REPIN1:links=18,enh=17;ZNF775:links=17,enh=16
clust0029	clustered_SSD_tandem	chr9	3	DMRT1,DMRT3,DMRT2	0	0	0	0	0	0	0	nan	nan	DMRT1:links=0,enh=0;DMRT3:links=0,enh=0;DMRT2:links=0,enh=0
clust0004	clustered_SSD_tandem	chr9	2	ZBTB6,ZBTB26	26	18	10	14	24	8	5	0.4444444444444444	10.641338571428573	ZBTB6:links=11,enh=10;ZBTB26:links=15,enh=14
clust0005	clustered_SSD_tandem	chr9	2	ZBTB43,ZBTB34	23	19	9	12	21	4	3	0.21052631578947367	12.1937125	ZBTB43:links=13,enh=12;ZBTB34:links=10,enh=9
clust0055	clustered_SSD_tandem	chrX	3	RHOXF2B,RHOXF1,RHOXF2	0	0	0	0	0	0	0	nan	nan	RHOXF2B:links=0,enh=0;RHOXF1:links=0,enh=0;RHOXF2:links=0,enh=0
clust0002	clustered_cis_ohnolog	chr1	2	ZBTB8B,ZBTB8A	0	0	0	0	0	0	0	nan	nan	ZBTB8B:links=0,enh=0;ZBTB8A:links=0,enh=0
clust0034	clustered_cis_ohnolog	chr1	2	FOXE3,FOXD2	0	0	0	0	0	0	0	nan	nan	FOXE3:links=0,enh=0;FOXD2:links=0,enh=0
clust0030	clustered_cis_ohnolog	chr1	2	ETV3L,ETV3	28	19	12	14	26	9	9	0.47368421052631576	10.272233333333332	ETV3L:links=15,enh=14;ETV3:links=13,enh=12
clust0039	clustered_cis_ohnolog	chr1	2	PBX1,LMX1A	14	14	0	13	13	0	0	0.0	13.124869230769232	PBX1:links=14,enh=13;LMX1A:links=0,enh=0
clust0040	clustered_cis_ohnolog	chr10	2	TLX1,LBX1	0	0	0	0	0	0	0	nan	nan	TLX1:links=0,enh=0;LBX1:links=0,enh=0
clust0041	clustered_cis_ohnolog	chr10	2	HMX3,HMX2	0	0	0	0	0	0	0	nan	nan	HMX3:links=0,enh=0;HMX2:links=0,enh=0
clust0031	clustered_cis_ohnolog	chr11	2	ELF5,EHF	8	8	0	7	7	0	0	0.0	15.398928571428572	ELF5:links=0,enh=0;EHF:links=8,enh=7
clust0032	clustered_cis_ohnolog	chr11	2	ETS1,FLI1	52	49	20	30	50	3	1	0.061224489795918366	11.895080833333335	ETS1:links=21,enh=20;FLI1:links=31,enh=30
clust0007	clustered_cis_ohnolog	chr12	2	SP7,SP1	21	21	0	20	20	0	0	0.0	10.750535000000001	SP7:links=0,enh=0;SP1:links=21,enh=20
clust0076	clustered_cis_ohnolog	chr12	2	AC023509.3,ATF7	16	16	0	15	15	0	0	0.0	13.617379999999999	AC023509.3:links=0,enh=0;ATF7:links=16,enh=15
clust0071	clustered_cis_ohnolog	chr12	2	MYF6,MYF5	0	0	0	0	0	0	0	nan	nan	MYF6:links=0,enh=0;MYF5:links=0,enh=0
clust0069	clustered_cis_ohnolog	chr12	2	TBX5,TBX3	0	0	0	0	0	0	0	nan	nan	TBX5:links=0,enh=0;TBX3:links=0,enh=0
clust0043	clustered_cis_ohnolog	chr13	3	GSX1,PDX1,CDX2	0	0	0	0	0	0	0	nan	nan	GSX1:links=0,enh=0;PDX1:links=0,enh=0;CDX2:links=0,enh=0
clust0008	clustered_cis_ohnolog	chr13	2	KLF5,KLF12	48	43	19	27	46	5	4	0.11627906976744186	14.356051461988304	KLF5:links=20,enh=19;KLF12:links=28,enh=27
clust0009	clustered_cis_ohnolog	chr13	2	ZIC5,ZIC2	0	0	0	0	0	0	0	nan	nan	ZIC5:links=0,enh=0;ZIC2:links=0,enh=0
clust0044	clustered_cis_ohnolog	chr14	2	NKX2-1,NKX2-8	0	0	0	0	0	0	0	nan	nan	NKX2-1:links=0,enh=0;NKX2-8:links=0,enh=0
clust0045	clustered_cis_ohnolog	chr14	3	SIX6,SIX1,SIX4	12	12	0	11	11	0	0	0.0	11.574672727272727	SIX6:links=0,enh=0;SIX1:links=0,enh=0;SIX4:links=12,enh=11
clust0077	clustered_cis_ohnolog	chr14	3	FOS,JDP2,BATF	62	47	16	26	59	15	13	0.3191489361702128	11.089216082202112	FOS:links=18,enh=17;JDP2:links=27,enh=26;BATF:links=17,enh=16
clust0046	clustered_cis_ohnolog	chr16	3	IRX3,IRX5,IRX6	0	0	0	0	0	0	0	nan	nan	IRX3:links=0,enh=0;IRX5:links=0,enh=0;IRX6:links=0,enh=0
clust0012	clustered_cis_ohnolog	chr16	2	ZNF469,ZFPM1	39	34	17	20	37	5	5	0.14705882352941177	9.067108235294118	ZNF469:links=18,enh=17;ZFPM1:links=21,enh=20
clust0057	clustered_cis_ohnolog	chr17	2	THRA,NR1D1	36	25	14	20	34	11	11	0.44	9.470953571428572	THRA:links=21,enh=20;NR1D1:links=15,enh=14
clust0067	clustered_cis_ohnolog	chr17	3	STAT5B,STAT5A,STAT3	56	31	14	21	53	18	17	0.5806451612903226	13.83368783068783	STAT5B:links=15,enh=14;STAT5A:links=19,enh=18;STAT3:links=22,enh=21
clust0013	clustered_cis_ohnolog	chr17	2	SP6,SP2	16	16	0	15	15	0	0	0.0	11.763513333333334	SP6:links=0,enh=0;SP2:links=16,enh=15
clust0047	clustered_cis_ohnolog	chr17	2	DLX4,DLX3	18	18	0	17	17	0	0	0.0	12.848905882352941	DLX4:links=18,enh=17;DLX3:links=0,enh=0
clust0070	clustered_cis_ohnolog	chr17	2	TBX2,TBX4	0	0	0	0	0	0	0	nan	nan	TBX2:links=0,enh=0;TBX4:links=0,enh=0
clust0056	clustered_cis_ohnolog	chr19	2	MEF2B,BORCS8-MEF2B	19	19	0	18	18	0	0	0.0	8.379722222222222	MEF2B:links=19,enh=18;BORCS8-MEF2B:links=0,enh=0
clust0017	clustered_cis_ohnolog	chr19	3	ZNF536,TSHZ3,ZNF507	13	13	0	12	12	0	0	0.0	10.454241666666668	ZNF536:links=0,enh=0;TSHZ3:links=0,enh=0;ZNF507:links=13,enh=12
clust0078	clustered_cis_ohnolog	chr19	2	CEBPA,CEBPG	23	23	0	22	22	0	0	0.0	13.775922727272729	CEBPA:links=0,enh=0;CEBPG:links=23,enh=22
clust0048	clustered_cis_ohnolog	chr19	2	TPRX1,CRX	0	0	0	0	0	0	0	nan	nan	TPRX1:links=0,enh=0;CRX:links=0,enh=0
clust0049	clustered_cis_ohnolog	chr2	2	SIX3,SIX2	0	0	0	0	0	0	0	nan	nan	SIX3:links=0,enh=0;SIX2:links=0,enh=0
clust0050	clustered_cis_ohnolog	chr2	2	DLX1,DLX2	0	0	0	0	0	0	0	nan	nan	DLX1:links=0,enh=0;DLX2:links=0,enh=0
clust0068	clustered_cis_ohnolog	chr2	2	STAT1,STAT4	48	36	21	25	46	12	12	0.3333333333333333	12.104677714285714	STAT1:links=26,enh=25;STAT4:links=22,enh=21
clust0051	clustered_cis_ohnolog	chr20	2	NKX2-4,NKX2-2	0	0	0	0	0	0	0	nan	nan	NKX2-4:links=0,enh=0;NKX2-2:links=0,enh=0
clust0021	clustered_cis_ohnolog	chr20	4	SALL4,ZFP64,TSHZ2,ZNF217	58	54	0	32	55	4	4	0.07407407407407407	12.331970833333335	SALL4:links=13,enh=12;ZFP64:links=12,enh=11;TSHZ2:links=0,enh=0;ZNF217:links=33,enh=32
clust0033	clustered_cis_ohnolog	chr21	2	ERG,ETS2	17	17	0	16	16	0	0	0.0	9.948025000000001	ERG:links=0,enh=0;ETS2:links=17,enh=16
clust0022	clustered_cis_ohnolog	chr22	2	ZNF280B,ZNF280A	8	8	0	7	7	0	0	0.0	17.10647142857143	ZNF280B:links=8,enh=7;ZNF280A:links=0,enh=0
clust0058	clustered_cis_ohnolog	chr3	3	NR1D2,THRB,RARB	19	19	0	18	18	0	0	0.0	10.885422222222223	NR1D2:links=19,enh=18;THRB:links=0,enh=0;RARB:links=0,enh=0
clust0023	clustered_cis_ohnolog	chr3	4	ZNF660,ZNF35,ZNF502,ZNF501	27	14	5	6	23	5	3	0.35714285714285715	16.87111	ZNF660:links=6,enh=5;ZNF35:links=7,enh=6;ZNF502:links=7,enh=6;ZNF501:links=7,enh=6
clust0024	clustered_cis_ohnolog	chr3	2	ZIC4,ZIC1	0	0	0	0	0	0	0	nan	nan	ZIC4:links=0,enh=0;ZIC1:links=0,enh=0
clust0052	clustered_cis_ohnolog	chr5	3	IRX4,IRX2,IRX1	0	0	0	0	0	0	0	nan	nan	IRX4:links=0,enh=0;IRX2:links=0,enh=0;IRX1:links=0,enh=0
clust0036	clustered_cis_ohnolog	chr6	3	FOXQ1,FOXF2,FOXC1	24	24	0	23	23	0	0	0.0	10.43243043478261	FOXQ1:links=0,enh=0;FOXF2:links=0,enh=0;FOXC1:links=24,enh=23
clust0001	clustered_cis_ohnolog	chr6	2	TFAP2D,TFAP2B	0	0	0	0	0	0	0	nan	nan	TFAP2D:links=0,enh=0;TFAP2B:links=0,enh=0
clust0025	clustered_cis_ohnolog	chr7	2	SP8,SP4	20	20	0	19	19	0	0	0.0	13.661594736842106	SP8:links=0,enh=0;SP4:links=20,enh=19
clust0053	clustered_cis_ohnolog	chr7	2	DLX6,DLX5	0	0	0	0	0	0	0	nan	nan	DLX6:links=0,enh=0;DLX5:links=0,enh=0
clust0054	clustered_cis_ohnolog	chr8	2	NKX3-1,NKX2-6	14	14	0	13	13	0	0	0.0	10.281561538461538	NKX3-1:links=14,enh=13;NKX2-6:links=0,enh=0
clust0028	clustered_cis_ohnolog	chr8	4	ZFP41,AC138696.1,GLI4,ZNF696	44	24	0	16	41	12	10	0.5	9.622629305555556	ZFP41:links=16,enh=15;AC138696.1:links=0,enh=0;GLI4:links=11,enh=10;ZNF696:links=17,enh=16
clust0059	clustered_cis_ohnolog	chr9	2	NR5A1,NR6A1	0	0	0	0	0	0	0	nan	nan	NR5A1:links=0,enh=0;NR6A1:links=0,enh=0
