cluster_id	dup_class4	family	chrom	n_members	members	span_bp	win_len_bp	clipped	n_peaks_window	n_peaks_body	n_peaks_flank	peaks_per_kb_window	peaks_per_kb_body	peaks_per_kb_flank	obs_exp_window	nearest_peak_to_tss_min	nearest_peak_to_tss_mean	n_peaks_between_members	inter_member_tss_dist_bp	peaks_between_per_kb
clust0041	clustered_cis_ohnolog	Homeodomain	chr10	2	HMX3,HMX2	14702	214702	none	2	0	2	0.00932	0.0	0.01	0.713	2804	8887.0	0	12166	0.0
clust0031	clustered_cis_ohnolog	Ets	chr11	2	ELF5,EHF	184497	384497	none	7	5	2	0.01821	0.0271	0.01	1.3935	11963	23319.5	1	95900	0.01043
clust0032	clustered_cis_ohnolog	Ets	chr11	2	ETS1,FLI1	354506	554506	none	17	9	8	0.03066	0.02539	0.04	2.3467	16638	35420.0	4	98977	0.04041
clust0007	clustered_cis_ohnolog	C2H2 ZF (other)	chr12	2	SP7,SP1	89871	289871	none	25	7	18	0.08625	0.07789	0.09	6.6016	0	955.0	4	34861	0.11474
clust0076	clustered_cis_ohnolog	bZIP	chr12	2	AC023509.3,ATF7	119719	319719	none	13	3	10	0.04066	0.02506	0.05	3.1124	49831	50046.5	0	431	0.0
clust0071	clustered_cis_ohnolog	bHLH	chr12	2	MYF6,MYF5	12037	212037	none	0	0	0	0.0	0.0	0.0	0.0	295070	299709.0	0	9278	0.0
clust0069	clustered_cis_ohnolog	T-box	chr12	2	TBX5,TBX3	330264	530264	none	5	5	0	0.00943	0.01514	0.0	0.7218	21210	60740.5	5	275733	0.01813
clust0043	clustered_cis_ohnolog	Homeodomain	chr13	3	GSX1,PDX1,CDX2	176832	376832	none	14	7	7	0.03715	0.03959	0.035	2.8438	15132	23484.3	7	176832	0.03959
clust0008	clustered_cis_ohnolog	C2H2 ZF (other)	chr13	2	KLF5,KLF12	1079428	1279428	none	13	13	0	0.01016	0.01204	0.0	0.7778	94033	133867.5	13	1079428	0.01204
clust0009	clustered_cis_ohnolog	C2H2 ZF (other)	chr13	2	ZIC5,ZIC2	23801	223801	none	4	0	4	0.01787	0.0	0.02	1.3681	54825	59833.5	0	10017	0.0
clust0044	clustered_cis_ohnolog	Homeodomain	chr14	2	NKX2-1,NKX2-8	66222	266222	none	5	3	2	0.01878	0.0453	0.01	1.4376	22500	27590.0	3	61465	0.04881
clust0045	clustered_cis_ohnolog	Homeodomain	chr14	3	SIX6,SIX1,SIX4	215205	415205	none	2	2	0	0.00482	0.00929	0.0	0.3687	32684	60634.3	2	215205	0.00929
clust0077	clustered_cis_ohnolog	bZIP	chr14	3	FOS,JDP2,BATF	268167	468167	none	12	7	5	0.02563	0.0261	0.025	1.962	3540	15791.3	7	243629	0.02873
clust0046	clustered_cis_ohnolog	Homeodomain	chr16	3	IRX3,IRX5,IRX6	1047452	1247452	none	0	0	0	0.0	0.0	0.0	0.0	141092	338738.0	0	1037416	0.0
clust0012	clustered_cis_ohnolog	C2H2 ZF (other)	chr16	2	ZNF469,ZFPM1	154072	354072	none	11	8	3	0.03107	0.05192	0.015	2.378	2168	28375.5	3	70321	0.04266
clust0057	clustered_cis_ohnolog	Nuclear receptor	chr17	2	THRA,NR1D1	42299	242299	none	26	6	20	0.10731	0.14185	0.1	8.2137	11248	11470.0	6	42299	0.14185
clust0067	clustered_cis_ohnolog	STAT	chr17	3	STAT5B,STAT5A,STAT3	189392	389392	none	18	6	12	0.04623	0.03168	0.06	3.5383	17419	17859.3	5	101021	0.04949
clust0013	clustered_cis_ohnolog	C2H2 ZF (other)	chr17	2	SP6,SP2	84049	284049	none	24	4	20	0.08449	0.04759	0.1	6.4674	5847	6972.5	2	40276	0.04966
clust0047	clustered_cis_ohnolog	Homeodomain	chr17	2	DLX4,DLX3	26636	226636	none	15	0	15	0.06619	0.0	0.075	5.0661	1553	8628.5	0	26636	0.0
clust0070	clustered_cis_ohnolog	T-box	chr17	2	TBX2,TBX4	85267	285267	none	9	7	2	0.03155	0.0821	0.01	2.4149	9710	22427.0	7	52561	0.13318
clust0056	clustered_cis_ohnolog	MADS box	chr19	2	MEF2B,BORCS8-MEF2B	46591	246591	none	13	5	8	0.05272	0.10732	0.04	4.0353	5849	5862.5	0	27	0.0
clust0017	clustered_cis_ohnolog	C2H2 ZF (other)	chr19	3	ZNF536,TSHZ3,ZNF507	2162776	2362776	none	21	17	4	0.00889	0.00786	0.02	0.6803	2138	4966.7	16	2120703	0.00754
clust0078	clustered_cis_ohnolog	bZIP	chr19	2	CEBPA,CEBPG	82752	282752	none	10	3	7	0.03537	0.03625	0.035	2.7071	609	30669.0	0	71151	0.0
clust0048	clustered_cis_ohnolog	Homeodomain	chr19	2	TPRX1,CRX	42098	242098	none	17	1	16	0.07022	0.02375	0.08	5.3749	5169	5533.0	0	728	0.0
clust0049	clustered_cis_ohnolog	Homeodomain	chr2	2	SIX3,SIX2	67750	267750	none	3	3	0	0.0112	0.04428	0.0	0.8576	14095	20788.5	3	67750	0.04428
clust0050	clustered_cis_ohnolog	Homeodomain	chr2	2	DLX1,DLX2	18160	218160	none	9	2	7	0.04125	0.11013	0.035	3.1578	1107	1584.0	2	18160	0.11013
clust0068	clustered_cis_ohnolog	STAT	chr2	2	STAT1,STAT4	243136	443136	none	11	5	6	0.02482	0.02056	0.03	1.9001	4192	6975.5	3	130636	0.02296
clust0051	clustered_cis_ohnolog	Homeodomain	chr20	2	NKX2-4,NKX2-2	118699	318699	none	8	3	5	0.0251	0.02527	0.025	1.9214	7406	50808.0	3	116538	0.02574
clust0021	clustered_cis_ohnolog	C2H2 ZF (other)	chr20	4	SALL4,ZFP64,TSHZ2,ZNF217	1827576	2027576	none	27	25	2	0.01332	0.01368	0.01	1.0193	2213	25786.5	24	1807386	0.01328
clust0033	clustered_cis_ohnolog	Ets	chr21	2	ERG,ETS2	444928	644928	none	13	8	5	0.02016	0.01798	0.025	1.5429	0	3792.5	6	143403	0.04184
clust0022	clustered_cis_ohnolog	C2H2 ZF (other)	chr22	2	ZNF280B,ZNF280A	35849	235849	none	13	1	12	0.05512	0.02789	0.06	4.2191	0	5694.5	1	11528	0.08675
clust0058	clustered_cis_ohnolog	Nuclear receptor	chr3	3	NR1D2,THRB,RARB	1652646	1852646	none	13	8	5	0.00702	0.00484	0.025	0.5371	7238	73465.3	6	742601	0.00808
clust0023	clustered_cis_ohnolog	C2H2 ZF (other)	chr3	4	ZNF660,ZNF35,ZNF502,ZNF501	158860	358860	none	2	0	2	0.00557	0.0	0.01	0.4266	45047	131139.5	0	151373	0.0
clust0024	clustered_cis_ohnolog	C2H2 ZF (other)	chr3	2	ZIC4,ZIC1	124247	324247	none	1	0	1	0.00308	0.0	0.005	0.2361	31510	38203.5	0	13387	0.0
clust0052	clustered_cis_ohnolog	Homeodomain	chr5	3	IRX4,IRX2,IRX1	1723990	1923990	none	8	7	1	0.00416	0.00406	0.005	0.3183	41666	126796.0	7	1708596	0.0041
clust0036	clustered_cis_ohnolog	Forkhead	chr6	3	FOXQ1,FOXF2,FOXC1	301799	501799	none	13	13	0	0.02591	0.04308	0.0	1.983	5185	27554.3	13	297817	0.04365
clust0001	clustered_cis_ohnolog	AP-2	chr6	2	TFAP2D,TFAP2B	134093	334093	none	4	2	2	0.01197	0.01492	0.01	0.9164	2447	31730.0	2	105197	0.01901
clust0025	clustered_cis_ohnolog	C2H2 ZF (other)	chr7	2	SP8,SP4	732543	932543	none	10	8	2	0.01072	0.01092	0.01	0.8208	79823	134008.5	6	641157	0.00936
clust0053	clustered_cis_ohnolog	Homeodomain	chr7	2	DLX6,DLX5	19397	219397	none	6	0	6	0.02735	0.0	0.03	2.0933	2896	12594.5	0	19397	0.0
clust0054	clustered_cis_ohnolog	Homeodomain	chr8	2	NKX3-1,NKX2-6	28059	228059	none	5	2	3	0.02192	0.07128	0.015	1.6782	9872	11809.5	2	23818	0.08397
clust0028	clustered_cis_ohnolog	C2H2 ZF (other)	chr8	4	ZFP41,AC138696.1,GLI4,ZNF696	53131	253131	none	12	7	5	0.04741	0.13175	0.025	3.6287	1764	10332.5	5	42855	0.11667
clust0059	clustered_cis_ohnolog	Nuclear receptor	chr9	2	NR5A1,NR6A1	290075	490075	none	22	9	13	0.04489	0.03103	0.065	3.4362	867	15181.0	9	263891	0.0341
