cluster_id	dup_class4	family	chrom	n_members	members	span_bp	win_len_bp	clipped	n_peaks_window	n_peaks_body	n_peaks_flank	peaks_per_kb_window	peaks_per_kb_body	peaks_per_kb_flank	obs_exp_window	nearest_peak_to_tss_min	nearest_peak_to_tss_mean	n_peaks_between_members	inter_member_tss_dist_bp	peaks_between_per_kb
clust0029	clustered_SSD_tandem	DM	chr9	3	DMRT1,DMRT3,DMRT2	215862	415862	none	1	1	0	0.0024	0.00463	0.0	0.1288	52332	96933.7	1	208168	0.0048
clust0004	clustered_SSD_tandem	BTB-ZNF	chr9	2	ZBTB6,ZBTB26	23456	223456	none	14	2	12	0.06265	0.08527	0.06	3.357	0	0.0	1	18189	0.05498
clust0005	clustered_SSD_tandem	BTB-ZNF	chr9	2	ZBTB43,ZBTB34	80872	280872	none	16	6	10	0.05697	0.07419	0.05	3.0523	0	0.0	6	55633	0.10785
clust0055	clustered_SSD_tandem	Homeodomain	chrX	3	RHOXF2B,RHOXF1,RHOXF2	173003	373003	none	7	2	5	0.01877	0.01156	0.025	1.0056	0	73370.0	2	167577	0.01193
clust0002	clustered_cis_ohnolog	BTB-ZNF	chr1	2	ZBTB8B,ZBTB8A	140869	340869	none	11	1	10	0.03227	0.0071	0.05	1.7291	18810	34885.5	1	74355	0.01345
clust0034	clustered_cis_ohnolog	Forkhead	chr1	2	FOXE3,FOXD2	24406	224406	none	10	5	5	0.04456	0.20487	0.025	2.3877	0	8149.5	5	21759	0.22979
clust0030	clustered_cis_ohnolog	Ets	chr1	2	ETV3L,ETV3	46431	246431	none	5	3	2	0.02029	0.06461	0.01	1.0872	0	10631.5	3	26062	0.11511
clust0039	clustered_cis_ohnolog	Homeodomain	chr1	2	PBX1,LMX1A	801131	1001131	none	2	1	1	0.002	0.00125	0.005	0.107	3330	19877.5	1	801131	0.00125
clust0040	clustered_cis_ohnolog	Homeodomain	chr10	2	TLX1,LBX1	98163	298163	none	21	2	19	0.07043	0.02037	0.095	3.7739	9550	12066.0	2	98163	0.02037
clust0041	clustered_cis_ohnolog	Homeodomain	chr10	2	HMX3,HMX2	14702	214702	none	7	0	7	0.0326	0.0	0.035	1.747	2796	4468.5	0	12166	0.0
clust0031	clustered_cis_ohnolog	Ets	chr11	2	ELF5,EHF	184497	384497	none	4	0	4	0.0104	0.0	0.02	0.5574	85817	133767.0	0	95900	0.0
clust0032	clustered_cis_ohnolog	Ets	chr11	2	ETS1,FLI1	354506	554506	none	50	36	14	0.09017	0.10155	0.07	4.8315	519	3887.0	7	98977	0.07072
clust0007	clustered_cis_ohnolog	C2H2 ZF (other)	chr12	2	SP7,SP1	89871	289871	none	41	9	32	0.14144	0.10014	0.16	7.5788	0	0.0	6	34861	0.17211
clust0076	clustered_cis_ohnolog	bZIP	chr12	2	AC023509.3,ATF7	119719	319719	none	18	4	14	0.0563	0.03341	0.07	3.0167	0	0.0	1	431	2.32019
clust0071	clustered_cis_ohnolog	bHLH	chr12	2	MYF6,MYF5	12037	212037	none	0	0	0	0.0	0.0	0.0	0.0	623549	628188.0	0	9278	0.0
clust0069	clustered_cis_ohnolog	T-box	chr12	2	TBX5,TBX3	330264	530264	none	0	0	0	0.0	0.0	0.0	0.0	442041	579907.5	0	275733	0.0
clust0043	clustered_cis_ohnolog	Homeodomain	chr13	3	GSX1,PDX1,CDX2	176832	376832	none	2	1	1	0.00531	0.00566	0.005	0.2844	37634	68733.0	1	176832	0.00566
clust0008	clustered_cis_ohnolog	C2H2 ZF (other)	chr13	2	KLF5,KLF12	1079428	1279428	none	31	27	4	0.02423	0.02501	0.02	1.2983	0	1822.5	27	1079428	0.02501
clust0009	clustered_cis_ohnolog	C2H2 ZF (other)	chr13	2	ZIC5,ZIC2	23801	223801	none	5	0	5	0.02234	0.0	0.025	1.1971	55091	60099.5	0	10017	0.0
clust0044	clustered_cis_ohnolog	Homeodomain	chr14	2	NKX2-1,NKX2-8	66222	266222	none	0	0	0	0.0	0.0	0.0	0.0	200440	231172.5	0	61465	0.0
clust0045	clustered_cis_ohnolog	Homeodomain	chr14	3	SIX6,SIX1,SIX4	215205	415205	none	3	0	3	0.00723	0.0	0.015	0.3872	10401	88019.3	0	215205	0.0
clust0077	clustered_cis_ohnolog	bZIP	chr14	3	FOS,JDP2,BATF	268167	468167	none	30	19	11	0.06408	0.07085	0.055	3.4335	0	19843.7	10	243629	0.04105
clust0046	clustered_cis_ohnolog	Homeodomain	chr16	3	IRX3,IRX5,IRX6	1047452	1247452	none	2	2	0	0.0016	0.00191	0.0	0.0859	1568	228255.0	2	1037416	0.00193
clust0012	clustered_cis_ohnolog	C2H2 ZF (other)	chr16	2	ZNF469,ZFPM1	154072	354072	none	31	16	15	0.08755	0.10385	0.075	4.6913	0	23722.0	7	70321	0.09954
clust0057	clustered_cis_ohnolog	Nuclear receptor	chr17	2	THRA,NR1D1	42299	242299	none	37	7	30	0.1527	0.16549	0.15	8.1822	250	2043.0	7	42299	0.16549
clust0067	clustered_cis_ohnolog	STAT	chr17	3	STAT5B,STAT5A,STAT3	189392	389392	none	41	19	22	0.10529	0.10032	0.11	5.6418	0	293.3	14	101021	0.13859
clust0013	clustered_cis_ohnolog	C2H2 ZF (other)	chr17	2	SP6,SP2	84049	284049	none	22	4	18	0.07745	0.04759	0.09	4.15	0	2362.5	2	40276	0.04966
clust0047	clustered_cis_ohnolog	Homeodomain	chr17	2	DLX4,DLX3	26636	226636	none	16	1	15	0.0706	0.03754	0.075	3.7828	0	1595.5	1	26636	0.03754
clust0070	clustered_cis_ohnolog	T-box	chr17	2	TBX2,TBX4	85267	285267	none	2	2	0	0.00701	0.02346	0.0	0.3757	11128	25492.0	2	52561	0.03805
clust0056	clustered_cis_ohnolog	MADS box	chr19	2	MEF2B,BORCS8-MEF2B	46591	246591	none	15	3	12	0.06083	0.06439	0.06	3.2594	0	0.0	0	27	0.0
clust0017	clustered_cis_ohnolog	C2H2 ZF (other)	chr19	3	ZNF536,TSHZ3,ZNF507	2162776	2362776	none	9	6	3	0.00381	0.00277	0.015	0.2041	0	97009.7	5	2120703	0.00236
clust0078	clustered_cis_ohnolog	bZIP	chr19	2	CEBPA,CEBPG	82752	282752	none	11	4	7	0.0389	0.04834	0.035	2.0845	0	0.0	3	71151	0.04216
clust0048	clustered_cis_ohnolog	Homeodomain	chr19	2	TPRX1,CRX	42098	242098	none	8	0	8	0.03304	0.0	0.04	1.7706	40364	40728.0	0	728	0.0
clust0049	clustered_cis_ohnolog	Homeodomain	chr2	2	SIX3,SIX2	67750	267750	none	0	0	0	0.0	0.0	0.0	0.0	228010	261885.0	0	67750	0.0
clust0050	clustered_cis_ohnolog	Homeodomain	chr2	2	DLX1,DLX2	18160	218160	none	7	4	3	0.03209	0.22026	0.015	1.7193	251	3765.5	4	18160	0.22026
clust0068	clustered_cis_ohnolog	STAT	chr2	2	STAT1,STAT4	243136	443136	none	26	21	5	0.05867	0.08637	0.025	3.1438	0	281.5	14	130636	0.10717
clust0051	clustered_cis_ohnolog	Homeodomain	chr20	2	NKX2-4,NKX2-2	118699	318699	none	11	4	7	0.03452	0.0337	0.035	1.8494	7609	50544.5	4	116538	0.03432
clust0021	clustered_cis_ohnolog	C2H2 ZF (other)	chr20	4	SALL4,ZFP64,TSHZ2,ZNF217	1827576	2027576	none	30	26	4	0.0148	0.01423	0.02	0.7928	0	45345.5	26	1807386	0.01439
clust0033	clustered_cis_ohnolog	Ets	chr21	2	ERG,ETS2	444928	644928	none	8	7	1	0.0124	0.01573	0.005	0.6647	437	47233.5	4	143403	0.02789
clust0022	clustered_cis_ohnolog	C2H2 ZF (other)	chr22	2	ZNF280B,ZNF280A	35849	235849	none	2	1	1	0.00848	0.02789	0.005	0.4544	0	5732.5	1	11528	0.08675
clust0058	clustered_cis_ohnolog	Nuclear receptor	chr3	3	NR1D2,THRB,RARB	1652646	1852646	none	14	3	11	0.00756	0.00182	0.055	0.4049	0	430321.0	3	742601	0.00404
clust0023	clustered_cis_ohnolog	C2H2 ZF (other)	chr3	4	ZNF660,ZNF35,ZNF502,ZNF501	158860	358860	none	8	3	5	0.02229	0.01888	0.025	1.1945	0	21372.8	3	151373	0.01982
clust0024	clustered_cis_ohnolog	C2H2 ZF (other)	chr3	2	ZIC4,ZIC1	124247	324247	none	0	0	0	0.0	0.0	0.0	0.0	678299	684992.5	0	13387	0.0
clust0052	clustered_cis_ohnolog	Homeodomain	chr5	3	IRX4,IRX2,IRX1	1723990	1923990	none	9	2	7	0.00468	0.00116	0.035	0.2506	85601	785155.3	2	1708596	0.00117
clust0036	clustered_cis_ohnolog	Forkhead	chr6	3	FOXQ1,FOXF2,FOXC1	301799	501799	none	10	10	0	0.01993	0.03313	0.0	1.0678	5387	117352.3	10	297817	0.03358
clust0001	clustered_cis_ohnolog	AP-2	chr6	2	TFAP2D,TFAP2B	134093	334093	none	0	0	0	0.0	0.0	0.0	0.0	1181265	1213118.5	0	105197	0.0
clust0025	clustered_cis_ohnolog	C2H2 ZF (other)	chr7	2	SP8,SP4	732543	932543	none	12	12	0	0.01287	0.01638	0.0	0.6895	0	237526.5	11	641157	0.01716
clust0053	clustered_cis_ohnolog	Homeodomain	chr7	2	DLX6,DLX5	19397	219397	none	3	0	3	0.01367	0.0	0.015	0.7327	79885	89583.5	0	19397	0.0
clust0054	clustered_cis_ohnolog	Homeodomain	chr8	2	NKX3-1,NKX2-6	28059	228059	none	5	3	2	0.02192	0.10692	0.01	1.1747	0	11891.0	1	23818	0.04199
clust0028	clustered_cis_ohnolog	C2H2 ZF (other)	chr8	4	ZFP41,AC138696.1,GLI4,ZNF696	53131	253131	none	23	10	13	0.09086	0.18821	0.065	4.8686	0	317.0	7	42855	0.16334
clust0059	clustered_cis_ohnolog	Nuclear receptor	chr9	2	NR5A1,NR6A1	290075	490075	none	15	2	13	0.03061	0.00689	0.065	1.64	0	45954.0	2	263891	0.00758
