gene	genomic_class	arrangement	provenance	dup_class4	TF_subfamily	in_lambert	hgnc_locus_type	is_ohnolog	is_ohnolog_relaxed	ohnolog_rescue_via_cluster	cluster_id	n_ohnolog_partners	ohnolog_dup_time	youngest_paralog_node	age_category
ZNF428	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0018	0			no_paralog_node
ZNF48	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0010	0		Bilateria	pre2R_ancient
ZNF497	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0020	0		Bilateria	pre2R_ancient
ZNF516	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0014	0		Bilateria	pre2R_ancient
ZNF576	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0018	0		Bilateria	pre2R_ancient
ZNF579	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0019	0		Bilateria	pre2R_ancient
ZNF580	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0019	0		Bilateria	pre2R_ancient
ZNF581	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0019	0		Bilateria	pre2R_ancient
ZNF625	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0015	0		Bilateria	pre2R_ancient
ZNF646	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0011	0		Bilateria	pre2R_ancient
ZNF668	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0011	0		Bilateria	pre2R_ancient
ZNF672	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0006	0		Bilateria	pre2R_ancient
ZNF692	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0006	0		Opisthokonta	pre2R_ancient
ZNF771	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0010	0		Bilateria	pre2R_ancient
ZNF775	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0027	0		Bilateria	pre2R_ancient
ZNF784	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0019	0		Bilateria	pre2R_ancient
ZNF837	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0020	0		Bilateria	pre2R_ancient
ZNF865	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0019	0		Bilateria	pre2R_ancient
ZSCAN1	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0064	0		Bilateria	pre2R_ancient
ZSCAN12	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0066	0		Vertebrata	2R_vertebrata
ZSCAN16	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0065	0		Vertebrata	2R_vertebrata
ZSCAN18	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0064	0		Bilateria	pre2R_ancient
ZSCAN23	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0066	0		Vertebrata	2R_vertebrata
ZSCAN30	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0062	0		Vertebrata	2R_vertebrata
ZSCAN31	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0066	0		Vertebrata	2R_vertebrata
ZSCAN32	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0061	0		Bilateria	pre2R_ancient
ZSCAN5A	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0063	0		Catarrhini	post2R_young
ZSCAN5B	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0063	0		Bilateria	pre2R_ancient
ZSCAN5C	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0063	0		Catarrhini	post2R_young
DMRT1	clustered	clustered	SSD	clustered_SSD_tandem	DM	True	gene with protein product	False	False	False	clust0029	0		Bilateria	pre2R_ancient
DMRT2	clustered	clustered	SSD	clustered_SSD_tandem	DM	True	gene with protein product	False	False	False	clust0029	0		Bilateria	pre2R_ancient
DMRT3	clustered	clustered	SSD	clustered_SSD_tandem	DM	True	gene with protein product	False	False	False	clust0029	0		Bilateria	pre2R_ancient
FOXC2	clustered	clustered	SSD	clustered_SSD_tandem	Forkhead	True	gene with protein product	False	False	False	clust0035	0		Opisthokonta	pre2R_ancient
FOXL1	clustered	clustered	SSD	clustered_SSD_tandem	Forkhead	True	gene with protein product	False	False	False	clust0035	0		Opisthokonta	pre2R_ancient
GTF2I	clustered	clustered	SSD	clustered_SSD_tandem	GTF2I-like	True	gene with protein product	False	False	False	clust0037	0		Bilateria	pre2R_ancient
GTF2IRD1	clustered	clustered	SSD	clustered_SSD_tandem	GTF2I-like	True	gene with protein product	False	False	False	clust0037	0		Bilateria	pre2R_ancient
HSFY1	clustered	clustered	SSD	clustered_SSD_tandem	HSF	True	gene with protein product	False	False	False	clust0038	0		Homo sapiens	post2R_young
HSFY2	clustered	clustered	SSD	clustered_SSD_tandem	HSF	True	gene with protein product	False	False	False	clust0038	0		Homo sapiens	post2R_young
NANOG	clustered	clustered	SSD	clustered_SSD_tandem	Homeodomain	True	gene with protein product	False	False	False	clust0042	0		Hominoidea	post2R_young
NANOGNB	clustered	clustered	SSD	clustered_SSD_tandem	Homeodomain	True	gene with protein product	False	False	False	clust0042	0		Bilateria	pre2R_ancient
RHOXF1	clustered	clustered	SSD	clustered_SSD_tandem	Homeodomain	True	gene with protein product	False	False	False	clust0055	0		Bilateria	pre2R_ancient
RHOXF2	clustered	clustered	SSD	clustered_SSD_tandem	Homeodomain	True	gene with protein product	False	False	False	clust0055	0		Homo sapiens	post2R_young
RHOXF2B	clustered	clustered	SSD	clustered_SSD_tandem	Homeodomain	True	gene with protein product	False	False	False	clust0055	0		Homo sapiens	post2R_young
SP100	clustered	clustered	SSD	clustered_SSD_tandem	SAND	True	gene with protein product	False	False	False	clust0060	0		Bilateria	pre2R_ancient
SP110	clustered	clustered	SSD	clustered_SSD_tandem	SAND	True	gene with protein product	False	False	False	clust0060	0		Bilateria	pre2R_ancient
SP140	clustered	clustered	SSD	clustered_SSD_tandem	SAND	True	gene with protein product	False	False	False	clust0060	0		Bilateria	pre2R_ancient
SP140L	clustered	clustered	SSD	clustered_SSD_tandem	SAND	True	gene with protein product	False	False	False	clust0060	0		Bilateria	pre2R_ancient
FERD3L	clustered	clustered	SSD	clustered_SSD_tandem	bHLH	True	gene with protein product	False	False	False	clust0075	0		Bilateria	pre2R_ancient
MESP1	clustered	clustered	SSD	clustered_SSD_tandem	bHLH	True	gene with protein product	False	False	False	clust0073	0		Eutheria	post2R_young
MESP2	clustered	clustered	SSD	clustered_SSD_tandem	bHLH	True	gene with protein product	False	False	False	clust0073	0		Eutheria	post2R_young
OLIG1	clustered	clustered	SSD	clustered_SSD_tandem	bHLH	True	gene with protein product	False	False	False	clust0074	0		Bilateria	pre2R_ancient
OLIG2	clustered	clustered	SSD	clustered_SSD_tandem	bHLH	True	gene with protein product	False	False	False	clust0074	0		Bilateria	pre2R_ancient
SOHLH2	clustered	clustered	SSD	clustered_SSD_tandem	bHLH	True	gene with protein product	False	False	False	clust0072	0			no_paralog_node
TWIST1	clustered	clustered	SSD	clustered_SSD_tandem	bHLH	True	gene with protein product	False	False	False	clust0075	0		Bilateria	pre2R_ancient
TFAP2B	clustered	clustered	ohnolog	clustered_cis_ohnolog	AP-2	True	gene with protein product	True	True	False	clust0001	3	Vertebrata	Vertebrata	2R_vertebrata
TFAP2D	clustered	clustered	ohnolog	clustered_cis_ohnolog	AP-2	True	gene with protein product	True	True	False	clust0001	3	Vertebrata	Vertebrata	2R_vertebrata
GLI4	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	False	True	clust0028	0		Bilateria	pre2R_ancient
KLF12	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0008	2	Vertebrata	Bilateria	pre2R_ancient
KLF5	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	False	True	clust0008	0		Bilateria	pre2R_ancient
SALL4	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0021	3	Vertebrata	Bilateria	pre2R_ancient
SP1	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0007	2	Vertebrata	Bilateria	pre2R_ancient
SP2	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0013	2	Vertebrata	Bilateria	pre2R_ancient
SP4	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0025	2	Vertebrata	Bilateria	pre2R_ancient
SP6	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0013	1	Vertebrata	Bilateria	pre2R_ancient
SP7	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0007	2	Vertebrata	Bilateria	pre2R_ancient
SP8	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0025	2	Vertebrata	Bilateria	pre2R_ancient
TSHZ2	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0021	2	Vertebrata		no_paralog_node
TSHZ3	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0017	2	Vertebrata		no_paralog_node
ZBTB8A	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0002	5	Vertebrata		no_paralog_node
ZBTB8B	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0002	4	Vertebrata	Euteleostomi	2R_vertebrata
ZFP41	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	False	True	clust0028	0		Bilateria	pre2R_ancient
ZFP64	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	False	True	clust0021	0		Bilateria	pre2R_ancient
ZFPM1	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0012	1	Vertebrata	Vertebrata	2R_vertebrata
ZIC1	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0024	3	Vertebrata	Bilateria	pre2R_ancient
ZIC2	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0009	3	Vertebrata	Bilateria	pre2R_ancient
ZIC4	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0024	3	Vertebrata	Bilateria	pre2R_ancient
ZIC5	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0009	3	Vertebrata	Bilateria	pre2R_ancient
ZNF217	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	False	True	clust0021	0		Bilateria	pre2R_ancient
ZNF280A	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0022	1	Vertebrata	Bilateria	pre2R_ancient
ZNF280B	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0022	1	Vertebrata	Bilateria	pre2R_ancient
ZNF35	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0023	2	Vertebrata	Bilateria	pre2R_ancient
ZNF469	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	False	True	clust0012	0			no_paralog_node
ZNF501	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	False	True	clust0023	0		Mammalia	post2R_young
ZNF502	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0023	4	Vertebrata	Bilateria	pre2R_ancient
ZNF507	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	False	True	clust0017	0		Bilateria	pre2R_ancient
ZNF536	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	False	True	clust0017	0		Bilateria	pre2R_ancient
ZNF660	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0023	2	Vertebrata	Bilateria	pre2R_ancient
ZNF696	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0028	2	Vertebrata	Eutheria	post2R_young
EHF	clustered	clustered	ohnolog	clustered_cis_ohnolog	Ets	True	gene with protein product	True	True	False	clust0031	1	Vertebrata	Bilateria	pre2R_ancient
ELF5	clustered	clustered	ohnolog	clustered_cis_ohnolog	Ets	True	gene with protein product	True	False	True	clust0031	0		Bilateria	pre2R_ancient
ERG	clustered	clustered	ohnolog	clustered_cis_ohnolog	Ets	True	gene with protein product	True	False	True	clust0033	0		Bilateria	pre2R_ancient
ETS1	clustered	clustered	ohnolog	clustered_cis_ohnolog	Ets	True	gene with protein product	True	True	False	clust0032	1	Vertebrata	Bilateria	pre2R_ancient
ETS2	clustered	clustered	ohnolog	clustered_cis_ohnolog	Ets	True	gene with protein product	True	True	False	clust0033	1	Vertebrata	Bilateria	pre2R_ancient
ETV3	clustered	clustered	ohnolog	clustered_cis_ohnolog	Ets	True	gene with protein product	True	True	False	clust0030	1	Vertebrata	Bilateria	pre2R_ancient
ETV3L	clustered	clustered	ohnolog	clustered_cis_ohnolog	Ets	True	gene with protein product	True	True	False	clust0030	1	Vertebrata	Bilateria	pre2R_ancient
FLI1	clustered	clustered	ohnolog	clustered_cis_ohnolog	Ets	True	gene with protein product	True	False	True	clust0032	0		Bilateria	pre2R_ancient
FOXC1	clustered	clustered	ohnolog	clustered_cis_ohnolog	Forkhead	True	gene with protein product	True	False	True	clust0036	0		Opisthokonta	pre2R_ancient
FOXD2	clustered	clustered	ohnolog	clustered_cis_ohnolog	Forkhead	True	gene with protein product	True	True	False	clust0034	1	Vertebrata	Opisthokonta	pre2R_ancient
FOXE3	clustered	clustered	ohnolog	clustered_cis_ohnolog	Forkhead	True	gene with protein product	True	False	True	clust0034	0		Opisthokonta	pre2R_ancient
FOXF2	clustered	clustered	ohnolog	clustered_cis_ohnolog	Forkhead	True	gene with protein product	True	True	False	clust0036	1	Vertebrata	Bilateria	pre2R_ancient
FOXQ1	clustered	clustered	ohnolog	clustered_cis_ohnolog	Forkhead	True	gene with protein product	True	False	True	clust0036	0		Opisthokonta	pre2R_ancient
CDX2	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0043	2	Vertebrata	Bilateria	pre2R_ancient
CRX	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0048	2	Older	Bilateria	pre2R_ancient
DLX1	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0050	2	Vertebrata	Bilateria	pre2R_ancient
DLX2	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0050	2	Vertebrata	Bilateria	pre2R_ancient
DLX3	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0047	2	Vertebrata	Bilateria	pre2R_ancient
DLX4	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0047	2	Vertebrata	Bilateria	pre2R_ancient
DLX5	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0053	2	Vertebrata	Bilateria	pre2R_ancient
DLX6	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0053	2	Vertebrata	Bilateria	pre2R_ancient
GSX1	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0043	1	Vertebrata	Euteleostomi	2R_vertebrata
HMX2	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0041	1	Vertebrata	Bilateria	pre2R_ancient
HMX3	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0041	1	Vertebrata	Bilateria	pre2R_ancient
IRX1	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0052	3	Vertebrata	Bilateria	pre2R_ancient
IRX2	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0052	3	Vertebrata	Bilateria	pre2R_ancient
IRX3	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0046	3	Vertebrata	Bilateria	pre2R_ancient
IRX4	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0052	3	Vertebrata	Bilateria	pre2R_ancient
IRX5	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0046	3	Vertebrata	Bilateria	pre2R_ancient
IRX6	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0046	3	Vertebrata	Bilateria	pre2R_ancient
LBX1	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0040	1	Vertebrata	Bilateria	pre2R_ancient
LMX1A	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0039	1	Vertebrata	Bilateria	pre2R_ancient
NKX2-1	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0044	1	Vertebrata	Bilateria	pre2R_ancient
NKX2-2	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0051	1	Older	Bilateria	pre2R_ancient
NKX2-4	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0051	1	Vertebrata	Bilateria	pre2R_ancient
NKX2-6	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0054	2	Vertebrata	Bilateria	pre2R_ancient
NKX2-8	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0044	1	Older	Bilateria	pre2R_ancient
NKX3-1	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0054	1	Vertebrata	Bilateria	pre2R_ancient
PBX1	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0039	3	Vertebrata	Euteleostomi	2R_vertebrata
PDX1	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	False	True	clust0043	0		Bilateria	pre2R_ancient
SIX1	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0045	1	Vertebrata	Bilateria	pre2R_ancient
SIX2	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0049	1	Vertebrata	Bilateria	pre2R_ancient
SIX3	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0049	1	Vertebrata	Bilateria	pre2R_ancient
SIX4	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0045	1	Vertebrata	Bilateria	pre2R_ancient
SIX6	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0045	1	Vertebrata	Bilateria	pre2R_ancient
TLX1	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0040	2	Vertebrata	Bilateria	pre2R_ancient
TPRX1	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	False	True	clust0048	0		Catarrhini	post2R_young
MEF2B	clustered	clustered	ohnolog	clustered_cis_ohnolog	MADS box	True	gene with protein product	True	True	False	clust0056	3	Vertebrata	Opisthokonta	pre2R_ancient
NR1D1	clustered	clustered	ohnolog	clustered_cis_ohnolog	Nuclear receptor	True	gene with protein product	True	True	False	clust0057	1	Vertebrata	Bilateria	pre2R_ancient
NR1D2	clustered	clustered	ohnolog	clustered_cis_ohnolog	Nuclear receptor	True	gene with protein product	True	True	False	clust0058	1	Vertebrata	Bilateria	pre2R_ancient
NR5A1	clustered	clustered	ohnolog	clustered_cis_ohnolog	Nuclear receptor	True	gene with protein product	True	True	False	clust0059	1	Vertebrata	Vertebrata	2R_vertebrata
NR6A1	clustered	clustered	ohnolog	clustered_cis_ohnolog	Nuclear receptor	True	gene with protein product	True	False	True	clust0059	0			no_paralog_node
RARB	clustered	clustered	ohnolog	clustered_cis_ohnolog	Nuclear receptor	True	gene with protein product	True	True	False	clust0058	2	Vertebrata	Bilateria	pre2R_ancient
THRA	clustered	clustered	ohnolog	clustered_cis_ohnolog	Nuclear receptor	True	gene with protein product	True	True	False	clust0057	1	Vertebrata	Bilateria	pre2R_ancient
THRB	clustered	clustered	ohnolog	clustered_cis_ohnolog	Nuclear receptor	True	gene with protein product	True	True	False	clust0058	1	Vertebrata	Bilateria	pre2R_ancient
STAT1	clustered	clustered	ohnolog	clustered_cis_ohnolog	STAT	True	gene with protein product	True	True	False	clust0068	5	Vertebrata	Vertebrata	2R_vertebrata
STAT3	clustered	clustered	ohnolog	clustered_cis_ohnolog	STAT	True	gene with protein product	True	True	False	clust0067	4	Vertebrata	Vertebrata	2R_vertebrata
STAT4	clustered	clustered	ohnolog	clustered_cis_ohnolog	STAT	True	gene with protein product	True	True	False	clust0068	5	Vertebrata	Vertebrata	2R_vertebrata
STAT5A	clustered	clustered	ohnolog	clustered_cis_ohnolog	STAT	True	gene with protein product	True	True	False	clust0067	4	Vertebrata	Euteleostomi	2R_vertebrata
STAT5B	clustered	clustered	ohnolog	clustered_cis_ohnolog	STAT	True	gene with protein product	True	True	False	clust0067	4	Vertebrata	Euteleostomi	2R_vertebrata
TBX2	clustered	clustered	ohnolog	clustered_cis_ohnolog	T-box	True	gene with protein product	True	True	False	clust0070	1	Vertebrata	Bilateria	pre2R_ancient
TBX3	clustered	clustered	ohnolog	clustered_cis_ohnolog	T-box	True	gene with protein product	True	True	False	clust0069	1	Vertebrata	Bilateria	pre2R_ancient
TBX4	clustered	clustered	ohnolog	clustered_cis_ohnolog	T-box	True	gene with protein product	True	True	False	clust0070	1	Vertebrata	Bilateria	pre2R_ancient
TBX5	clustered	clustered	ohnolog	clustered_cis_ohnolog	T-box	True	gene with protein product	True	True	False	clust0069	1	Vertebrata	Bilateria	pre2R_ancient
MYF5	clustered	clustered	ohnolog	clustered_cis_ohnolog	bHLH	True	gene with protein product	True	True	False	clust0071	2	Vertebrata	Vertebrata	2R_vertebrata
MYF6	clustered	clustered	ohnolog	clustered_cis_ohnolog	bHLH	True	gene with protein product	True	True	False	clust0071	2	Vertebrata	Vertebrata	2R_vertebrata
ATF7	clustered	clustered	ohnolog	clustered_cis_ohnolog	bZIP	True	gene with protein product	True	True	False	clust0076	2	Vertebrata	Opisthokonta	pre2R_ancient
