gene	cls	ensembl_id	is_ohnolog_strict	is_ohnolog_interm	is_ohnolog_relaxed	n_ohnolog_partners	ohnolog_dup_time	youngest_node_rank	youngest_paralog_node	n_paralogs	has_2R_window_paralog	dup_mode	age_category
ZNF280B	clustered		True	True	True	1	Vertebrata	18.0	Bilateria	28	False	WGD_ohnolog	pre2R_ancient
ZNF280A	clustered		True	True	True	1	Vertebrata	18.0	Bilateria	28	False	WGD_ohnolog	pre2R_ancient
ZNF660	clustered		False	False	True	2	Vertebrata	18.0	Bilateria	38	False	WGD_ohnolog	pre2R_ancient
ZNF35	clustered		False	False	True	2	Vertebrata	18.0	Bilateria	62	False	WGD_ohnolog	pre2R_ancient
ZNF502	clustered		False	True	True	4	Vertebrata	18.0	Bilateria	176	False	WGD_ohnolog	pre2R_ancient
ZNF501	clustered		False	False	False	0		11.0	Mammalia	176	False	tandem	post2R_young
ZIC4	clustered		True	True	True	3	Vertebrata	18.0	Bilateria	13	False	WGD_ohnolog	pre2R_ancient
ZIC1	clustered		True	True	True	3	Vertebrata	18.0	Bilateria	14	False	WGD_ohnolog	pre2R_ancient
SP8	clustered		True	True	True	2	Vertebrata	18.0	Bilateria	22	False	WGD_ohnolog	pre2R_ancient
SP4	clustered		False	True	True	2	Vertebrata	18.0	Bilateria	3	False	WGD_ohnolog	pre2R_ancient
ZNF107	clustered		False	False	False	0		18.0	Bilateria	36	False	tandem	pre2R_ancient
ZNF138	clustered		False	False	False	0		5.0	Simiiformes	176	False	tandem	post2R_young
REPIN1	clustered		False	False	False	0				0	False	tandem	no_paralog_node
ZNF775	clustered		False	False	False	0		18.0	Bilateria	176	False	tandem	pre2R_ancient
ZFP41	clustered		False	False	False	0		18.0	Bilateria	18	False	tandem	pre2R_ancient
AC138696.1	clustered		False	False	False	0				0	False	tandem	no_paralog_node
GLI4	clustered		False	False	False	0		18.0	Bilateria	176	False	tandem	pre2R_ancient
ZNF696	clustered		False	False	True	2	Vertebrata	9.0	Eutheria	176	False	WGD_ohnolog	post2R_young
DMRT1	clustered		False	False	False	0		18.0	Bilateria	8	False	tandem	pre2R_ancient
DMRT3	clustered		False	False	False	0		18.0	Bilateria	8	False	tandem	pre2R_ancient
DMRT2	clustered		False	False	False	0		18.0	Bilateria	8	False	tandem	pre2R_ancient
ETV3L	clustered		False	False	True	1	Vertebrata	18.0	Bilateria	28	False	WGD_ohnolog	pre2R_ancient
ETV3	clustered		False	False	True	1	Vertebrata	18.0	Bilateria	28	False	WGD_ohnolog	pre2R_ancient
ELF5	clustered		False	False	False	0		18.0	Bilateria	28	False	tandem	pre2R_ancient
EHF	clustered		True	True	True	1	Vertebrata	18.0	Bilateria	28	False	WGD_ohnolog	pre2R_ancient
ETS1	clustered		True	True	True	1	Vertebrata	18.0	Bilateria	28	False	WGD_ohnolog	pre2R_ancient
FLI1	clustered		False	False	False	0		18.0	Bilateria	28	False	tandem	pre2R_ancient
ERG	clustered		False	False	False	0		18.0	Bilateria	28	False	tandem	pre2R_ancient
ETS2	clustered		True	True	True	1	Vertebrata	18.0	Bilateria	28	False	WGD_ohnolog	pre2R_ancient
FOXE3	clustered		False	False	False	0		19.0	Opisthokonta	41	False	tandem	pre2R_ancient
FOXD2	clustered		True	True	True	1	Vertebrata	19.0	Opisthokonta	41	False	WGD_ohnolog	pre2R_ancient
FOXC2	clustered		False	False	False	0		19.0	Opisthokonta	41	False	tandem	pre2R_ancient
FOXL1	clustered		False	False	False	0		19.0	Opisthokonta	41	False	tandem	pre2R_ancient
FOXQ1	clustered		False	False	False	0		19.0	Opisthokonta	41	False	tandem	pre2R_ancient
FOXF2	clustered		True	True	True	1	Vertebrata	18.0	Bilateria	4	False	WGD_ohnolog	pre2R_ancient
FOXC1	clustered		False	False	False	0		19.0	Opisthokonta	41	False	tandem	pre2R_ancient
GTF2IRD1	clustered		False	False	False	0		18.0	Bilateria	18	False	tandem	pre2R_ancient
GTF2I	clustered		False	False	False	0		18.0	Bilateria	18	False	tandem	pre2R_ancient
HSFY1	clustered		False	False	False	0		0.0	Homo sapiens	9	False	tandem	post2R_young
HSFY2	clustered		False	False	False	0		0.0	Homo sapiens	9	False	tandem	post2R_young
PBX1	clustered		True	True	True	3	Vertebrata	15.0	Euteleostomi	13	True	WGD_ohnolog	2R_vertebrata
LMX1A	clustered		True	True	True	1	Vertebrata	18.0	Bilateria	20	False	WGD_ohnolog	pre2R_ancient
TLX1	clustered		True	True	True	2	Vertebrata	18.0	Bilateria	42	False	WGD_ohnolog	pre2R_ancient
LBX1	clustered		True	True	True	1	Vertebrata	18.0	Bilateria	1	False	WGD_ohnolog	pre2R_ancient
HMX3	clustered		True	True	True	1	Vertebrata	18.0	Bilateria	3	False	WGD_ohnolog	pre2R_ancient
HMX2	clustered		True	True	True	1	Vertebrata	18.0	Bilateria	3	False	WGD_ohnolog	pre2R_ancient
NANOGNB	clustered		False	False	False	0		18.0	Bilateria	4	False	tandem	pre2R_ancient
NANOG	clustered		False	False	False	0		3.0	Hominoidea	9	False	tandem	post2R_young
GSX1	clustered		True	True	True	1	Vertebrata	15.0	Euteleostomi	1	True	WGD_ohnolog	2R_vertebrata
PDX1	clustered		False	False	False	0		18.0	Bilateria	42	False	tandem	pre2R_ancient
CDX2	clustered		True	True	True	2	Vertebrata	18.0	Bilateria	2	False	WGD_ohnolog	pre2R_ancient
NKX2-1	clustered		False	False	True	1	Vertebrata	18.0	Bilateria	13	False	WGD_ohnolog	pre2R_ancient
NKX2-8	clustered		False	True	True	1	Older	18.0	Bilateria	13	False	WGD_ohnolog	pre2R_ancient
SIX6	clustered		True	True	True	1	Vertebrata	18.0	Bilateria	6	False	WGD_ohnolog	pre2R_ancient
SIX1	clustered		True	True	True	1	Vertebrata	18.0	Bilateria	6	False	WGD_ohnolog	pre2R_ancient
SIX4	clustered		True	True	True	1	Vertebrata	18.0	Bilateria	6	False	WGD_ohnolog	pre2R_ancient
IRX3	clustered		True	True	True	3	Vertebrata	18.0	Bilateria	6	False	WGD_ohnolog	pre2R_ancient
IRX5	clustered		True	True	True	3	Vertebrata	18.0	Bilateria	6	False	WGD_ohnolog	pre2R_ancient
IRX6	clustered		True	True	True	3	Vertebrata	18.0	Bilateria	6	False	WGD_ohnolog	pre2R_ancient
DLX4	clustered		True	True	True	2	Vertebrata	18.0	Bilateria	9	False	WGD_ohnolog	pre2R_ancient
DLX3	clustered		True	True	True	2	Vertebrata	18.0	Bilateria	9	False	WGD_ohnolog	pre2R_ancient
TPRX1	clustered		False	False	False	0		4.0	Catarrhini	1	False	tandem	post2R_young
CRX	clustered		True	True	True	2	Older	18.0	Bilateria	51	False	WGD_ohnolog	pre2R_ancient
SIX3	clustered		True	True	True	1	Vertebrata	18.0	Bilateria	6	False	WGD_ohnolog	pre2R_ancient
SIX2	clustered		True	True	True	1	Vertebrata	18.0	Bilateria	6	False	WGD_ohnolog	pre2R_ancient
DLX1	clustered		True	True	True	2	Vertebrata	18.0	Bilateria	9	False	WGD_ohnolog	pre2R_ancient
DLX2	clustered		True	True	True	2	Vertebrata	18.0	Bilateria	9	False	WGD_ohnolog	pre2R_ancient
NKX2-4	clustered		False	False	True	1	Vertebrata	18.0	Bilateria	13	False	WGD_ohnolog	pre2R_ancient
NKX2-2	clustered		False	True	True	1	Older	18.0	Bilateria	13	False	WGD_ohnolog	pre2R_ancient
IRX4	clustered		True	True	True	3	Vertebrata	18.0	Bilateria	6	False	WGD_ohnolog	pre2R_ancient
IRX2	clustered		True	True	True	3	Vertebrata	18.0	Bilateria	6	False	WGD_ohnolog	pre2R_ancient
IRX1	clustered		True	True	True	3	Vertebrata	18.0	Bilateria	6	False	WGD_ohnolog	pre2R_ancient
DLX6	clustered		True	True	True	2	Vertebrata	18.0	Bilateria	9	False	WGD_ohnolog	pre2R_ancient
DLX5	clustered		True	True	True	2	Vertebrata	18.0	Bilateria	9	False	WGD_ohnolog	pre2R_ancient
NKX3-1	clustered		True	True	True	1	Vertebrata	18.0	Bilateria	13	False	WGD_ohnolog	pre2R_ancient
NKX2-6	clustered		False	True	True	2	Vertebrata	18.0	Bilateria	13	False	WGD_ohnolog	pre2R_ancient
RHOXF2B	clustered		False	False	False	0		0.0	Homo sapiens	51	False	tandem	post2R_young
RHOXF1	clustered		False	False	False	0		18.0	Bilateria	51	False	tandem	pre2R_ancient
RHOXF2	clustered		False	False	False	0		0.0	Homo sapiens	51	False	tandem	post2R_young
MEF2B	clustered		True	True	True	3	Vertebrata	19.0	Opisthokonta	4	False	WGD_ohnolog	pre2R_ancient
BORCS8-MEF2B	clustered		True	True	True	3	Vertebrata			0	False	WGD_ohnolog	no_paralog_node
THRA	clustered		True	True	True	1	Vertebrata	18.0	Bilateria	18	False	WGD_ohnolog	pre2R_ancient
NR1D1	clustered		False	False	True	1	Vertebrata	18.0	Bilateria	18	False	WGD_ohnolog	pre2R_ancient
NR1D2	clustered		False	False	True	1	Vertebrata	18.0	Bilateria	18	False	WGD_ohnolog	pre2R_ancient
THRB	clustered		True	True	True	1	Vertebrata	18.0	Bilateria	18	False	WGD_ohnolog	pre2R_ancient
RARB	clustered		False	True	True	2	Vertebrata	18.0	Bilateria	18	False	WGD_ohnolog	pre2R_ancient
NR5A1	clustered		True	True	True	1	Vertebrata	16.0	Vertebrata	1	True	WGD_ohnolog	2R_vertebrata
NR6A1	clustered		False	False	False	0				0	False	tandem	no_paralog_node
SP110	clustered		False	False	False	0		18.0	Bilateria	20	False	tandem	pre2R_ancient
SP140	clustered		False	False	False	0		18.0	Bilateria	20	False	tandem	pre2R_ancient
SP140L	clustered		False	False	False	0		18.0	Bilateria	20	False	tandem	pre2R_ancient
SP100	clustered		False	False	False	0		18.0	Bilateria	20	False	tandem	pre2R_ancient
ZSCAN32	clustered		False	False	False	0		18.0	Bilateria	29	False	tandem	pre2R_ancient
ZNF174	clustered		False	False	False	0		18.0	Bilateria	29	False	tandem	pre2R_ancient
ZNF397	clustered		False	False	False	0		16.0	Vertebrata	30	True	tandem	2R_vertebrata
ZSCAN30	clustered		False	False	False	0		16.0	Vertebrata	30	True	tandem	2R_vertebrata
ZNF24	clustered		False	False	False	0		16.0	Vertebrata	30	True	tandem	2R_vertebrata
ZNF396	clustered		False	False	False	0		16.0	Vertebrata	30	True	tandem	2R_vertebrata
ZSCAN5B	clustered		False	False	False	0		18.0	Bilateria	29	False	tandem	pre2R_ancient
ZSCAN5C	clustered		False	False	False	0		4.0	Catarrhini	29	False	tandem	post2R_young
ZSCAN5A	clustered		False	False	False	0		4.0	Catarrhini	29	False	tandem	post2R_young
ZSCAN1	clustered		False	False	False	0		18.0	Bilateria	29	False	tandem	pre2R_ancient
ZSCAN18	clustered		False	False	False	0		18.0	Bilateria	29	False	tandem	pre2R_ancient
ZNF165	clustered		False	False	False	0		16.0	Vertebrata	30	True	tandem	2R_vertebrata
ZSCAN16	clustered		False	False	False	0		16.0	Vertebrata	30	True	tandem	2R_vertebrata
ZSCAN31	clustered		False	False	False	0		16.0	Vertebrata	30	True	tandem	2R_vertebrata
ZSCAN12	clustered		False	False	False	0		16.0	Vertebrata	30	True	tandem	2R_vertebrata
ZSCAN23	clustered		False	False	False	0		16.0	Vertebrata	30	True	tandem	2R_vertebrata
STAT5B	clustered		True	True	True	4	Vertebrata	15.0	Euteleostomi	6	True	WGD_ohnolog	2R_vertebrata
STAT5A	clustered		False	True	True	4	Vertebrata	15.0	Euteleostomi	6	True	WGD_ohnolog	2R_vertebrata
STAT3	clustered		True	True	True	4	Vertebrata	16.0	Vertebrata	6	True	WGD_ohnolog	2R_vertebrata
STAT1	clustered		True	True	True	5	Vertebrata	16.0	Vertebrata	5	True	WGD_ohnolog	2R_vertebrata
STAT4	clustered		True	True	True	5	Vertebrata	16.0	Vertebrata	5	True	WGD_ohnolog	2R_vertebrata
TBX5	clustered		True	True	True	1	Vertebrata	18.0	Bilateria	16	False	WGD_ohnolog	pre2R_ancient
TBX3	clustered		True	True	True	1	Vertebrata	18.0	Bilateria	16	False	WGD_ohnolog	pre2R_ancient
TBX2	clustered		True	True	True	1	Vertebrata	18.0	Bilateria	16	False	WGD_ohnolog	pre2R_ancient
TBX4	clustered		True	True	True	1	Vertebrata	18.0	Bilateria	16	False	WGD_ohnolog	pre2R_ancient
MYF6	clustered		True	True	True	2	Vertebrata	16.0	Vertebrata	2	True	WGD_ohnolog	2R_vertebrata
MYF5	clustered		True	True	True	2	Vertebrata	16.0	Vertebrata	2	True	WGD_ohnolog	2R_vertebrata
SOHLH2	clustered		False	False	False	0				0	False	tandem	no_paralog_node
CCDC169-SOHLH2	clustered		False	False	False	0				0	False	tandem	no_paralog_node
MESP1	clustered		False	False	False	0		9.0	Eutheria	1	False	tandem	post2R_young
MESP2	clustered		False	False	False	0		9.0	Eutheria	1	False	tandem	post2R_young
OLIG2	clustered		False	False	False	0		18.0	Bilateria	15	False	tandem	pre2R_ancient
OLIG1	clustered		False	False	False	0		18.0	Bilateria	15	False	tandem	pre2R_ancient
TWIST1	clustered		False	False	False	0		18.0	Bilateria	13	False	tandem	pre2R_ancient
FERD3L	clustered		False	False	False	0		18.0	Bilateria	13	False	tandem	pre2R_ancient
AC023509.3	clustered		False	False	False	0				0	False	tandem	no_paralog_node
ATF7	clustered		True	True	True	2	Vertebrata	19.0	Opisthokonta	2	False	WGD_ohnolog	pre2R_ancient
FOS	clustered		True	True	True	3	Vertebrata	18.0	Bilateria	8	False	WGD_ohnolog	pre2R_ancient
JDP2	clustered		True	True	True	1	Vertebrata	18.0	Bilateria	8	False	WGD_ohnolog	pre2R_ancient
BATF	clustered		False	False	False	0		18.0	Bilateria	8	False	tandem	pre2R_ancient
CEBPA	clustered		True	True	True	3	Vertebrata	18.0	Bilateria	4	False	WGD_ohnolog	pre2R_ancient
CEBPG	clustered		False	True	True	1	Vertebrata	18.0	Bilateria	4	False	WGD_ohnolog	pre2R_ancient
TFAP2E	singleton	ENSG00000116819	True	True	True	4	Vertebrata	16.0	Vertebrata	1	True	WGD_ohnolog	2R_vertebrata
TFAP2C	singleton	ENSG00000087510	True	True	True	4	Vertebrata	16.0	Vertebrata	1	True	WGD_ohnolog	2R_vertebrata
TFAP2A	singleton	ENSG00000137203	True	True	True	4	Vertebrata	16.0	Vertebrata	1	True	WGD_ohnolog	2R_vertebrata
KDM5B	singleton	ENSG00000117139	False	False	False	0		19.0	Opisthokonta	10	False	SSD_dispersed	pre2R_ancient
ARID5B	singleton	ENSG00000150347	True	True	True	1	Vertebrata	18.0	Bilateria	3	False	WGD_ohnolog	pre2R_ancient
ARID3B	singleton	ENSG00000179361	True	True	True	1	Vertebrata	18.0	Bilateria	2	False	WGD_ohnolog	pre2R_ancient
ARID3A	singleton	ENSG00000116017	True	True	True	1	Vertebrata	18.0	Bilateria	2	False	WGD_ohnolog	pre2R_ancient
ARID5A	singleton	ENSG00000196843	True	True	True	1	Vertebrata	18.0	Bilateria	3	False	WGD_ohnolog	pre2R_ancient
ARID3C	singleton	ENSG00000205143	False	False	False	0		18.0	Bilateria	2	False	SSD_dispersed	pre2R_ancient
AHDC1	singleton	ENSG00000126705	False	False	False	0				0	False	SSD_dispersed	no_paralog_node
ASH1L	singleton	ENSG00000116539	False	False	False	0		19.0	Opisthokonta	19	False	SSD_dispersed	pre2R_ancient
AHCTF1	singleton	ENSG00000153207	False	False	False	0				0	False	SSD_dispersed	no_paralog_node
PHF21A	singleton	ENSG00000135365	False	False	False	0		18.0	Bilateria	5	False	SSD_dispersed	pre2R_ancient
HMGA2	singleton	ENSG00000149948	False	False	False	0				0	False	SSD_dispersed	no_paralog_node
GLYR1	singleton	ENSG00000140632	False	False	False	0		18.0	Bilateria	1	False	SSD_dispersed	pre2R_ancient
SRCAP	singleton	ENSG00000080603	True	True	True	2	Vertebrata	19.0	Opisthokonta	30	False	WGD_ohnolog	pre2R_ancient
CBX2	singleton	ENSG00000173894	True	True	True	2	Vertebrata	18.0	Bilateria	8	False	WGD_ohnolog	pre2R_ancient
SETBP1	singleton	ENSG00000152217	False	False	False	0		19.0	Opisthokonta	19	False	SSD_dispersed	pre2R_ancient
DOT1L	singleton	ENSG00000104885	False	False	False	0				0	False	SSD_dispersed	no_paralog_node
PRR12	singleton	ENSG00000126464	False	False	False	0				0	False	SSD_dispersed	no_paralog_node
PHF20	singleton	ENSG00000025293	True	True	True	1	Vertebrata	18.0	Bilateria	1	False	WGD_ohnolog	pre2R_ancient
DNTTIP1	singleton	ENSG00000101457	False	False	False	0				0	False	SSD_dispersed	no_paralog_node
HMGA1	singleton	ENSG00000137309	False	False	False	0				0	False	SSD_dispersed	no_paralog_node
SCML4	singleton	ENSG00000146285	True	True	True	2	Vertebrata	18.0	Bilateria	18	False	WGD_ohnolog	pre2R_ancient
AKNA	singleton	ENSG00000106948	False	False	False	0				0	False	SSD_dispersed	no_paralog_node
ZBED6	singleton	ENSG00000257315	False	False	False	0		18.0	Bilateria	2	False	SSD_dispersed	pre2R_ancient
ZBED5	singleton	ENSG00000236287	False	False	False	0		18.0	Bilateria	18	False	SSD_dispersed	pre2R_ancient
C11orf95	singleton	ENSG00000188070	False	False	False	0				0	False	SSD_dispersed	no_paralog_node
SGSM2	singleton	ENSG00000141258	True	True	True	1	Vertebrata	19.0	Opisthokonta	45	False	WGD_ohnolog	pre2R_ancient
ZBED4	singleton	ENSG00000100426	False	False	True	1	Vertebrata	18.0	Bilateria	2	False	WGD_ohnolog	pre2R_ancient
ZBED2	singleton	ENSG00000177494	False	False	False	0				0	False	SSD_dispersed	no_paralog_node
FAM200B	singleton	ENSG00000237765	False	False	False	0		18.0	Bilateria	18	False	SSD_dispersed	pre2R_ancient
ZBED3	singleton	ENSG00000132846	False	False	False	0				0	False	SSD_dispersed	no_paralog_node
ZBED9	singleton	ENSG00000232040	False	False	False	0		18.0	Bilateria	18	False	SSD_dispersed	pre2R_ancient
ZBED1	singleton	ENSG00000214717	False	False	True	1	Vertebrata	18.0	Bilateria	2	False	WGD_ohnolog	pre2R_ancient
ZBTB48	singleton	ENSG00000204859	False	False	False	0		18.0	Bilateria	36	False	SSD_dispersed	pre2R_ancient
ZBTB17	singleton	ENSG00000116809	False	False	False	0		18.0	Bilateria	50	False	SSD_dispersed	pre2R_ancient
ZBTB40	singleton	ENSG00000184677	False	False	False	0				0	False	SSD_dispersed	no_paralog_node
ZBTB7B	singleton	ENSG00000160685	False	False	False	0		18.0	Bilateria	28	False	SSD_dispersed	pre2R_ancient
ZBTB37	singleton	ENSG00000185278	False	False	False	0		18.0	Bilateria	36	False	SSD_dispersed	pre2R_ancient
ZBTB41	singleton	ENSG00000177888	False	False	False	0		18.0	Bilateria	50	False	SSD_dispersed	pre2R_ancient
ZBTB18	singleton	ENSG00000179456	False	False	False	0		19.0	Opisthokonta	36	False	SSD_dispersed	pre2R_ancient
ZBTB3	singleton	ENSG00000185670	False	False	False	0		18.0	Bilateria	28	False	SSD_dispersed	pre2R_ancient
ZBTB16	singleton	ENSG00000109906	False	False	False	0		19.0	Opisthokonta	36	False	SSD_dispersed	pre2R_ancient
ZBTB44	singleton	ENSG00000196323	False	True	True	4	Chordata	17.0	Chordata	2	False	WGD_ohnolog	pre2R_ancient
ZBTB39	singleton	ENSG00000166860	False	False	False	0		18.0	Bilateria	7	False	SSD_dispersed	pre2R_ancient
ZBTB42	singleton	ENSG00000179627	False	False	False	0		19.0	Opisthokonta	36	False	SSD_dispersed	pre2R_ancient
HIC1	singleton	ENSG00000177374	False	False	False	0		19.0	Opisthokonta	36	False	SSD_dispersed	pre2R_ancient
BCL6B	singleton	ENSG00000161940	False	False	False	0		18.0	Bilateria	28	False	SSD_dispersed	pre2R_ancient
ZBTB4	singleton	ENSG00000174282	False	False	False	0		18.0	Bilateria	2	False	SSD_dispersed	pre2R_ancient
ZBTB14	singleton	ENSG00000198081	False	False	False	0		18.0	Bilateria	28	False	SSD_dispersed	pre2R_ancient
ZBTB7C	singleton	ENSG00000184828	False	False	False	0		19.0	Opisthokonta	36	False	SSD_dispersed	pre2R_ancient
ZBTB7A	singleton	ENSG00000178951	False	False	False	0		18.0	Bilateria	4	False	SSD_dispersed	pre2R_ancient
ZBTB32	singleton	ENSG00000011590	False	False	False	0		19.0	Opisthokonta	36	False	SSD_dispersed	pre2R_ancient
ZBTB45	singleton	ENSG00000119574	False	False	False	0		19.0	Opisthokonta	36	False	SSD_dispersed	pre2R_ancient
GZF1	singleton	ENSG00000125812	False	False	False	0		18.0	Bilateria	50	False	SSD_dispersed	pre2R_ancient
ZBTB46	singleton	ENSG00000130584	True	True	True	5	Vertebrata	18.0	Bilateria	28	False	WGD_ohnolog	pre2R_ancient
ZBTB21	singleton	ENSG00000173276	False	False	False	0		18.0	Bilateria	28	False	SSD_dispersed	pre2R_ancient
HIC2	singleton	ENSG00000169635	False	False	False	0		19.0	Opisthokonta	36	False	SSD_dispersed	pre2R_ancient
ZBTB47	singleton	ENSG00000114853	False	False	False	0		18.0	Bilateria	6	False	SSD_dispersed	pre2R_ancient
ZBTB11	singleton	ENSG00000066422	False	False	False	0		18.0	Bilateria	38	False	SSD_dispersed	pre2R_ancient
ZBTB20	singleton	ENSG00000181722	False	False	False	0		19.0	Opisthokonta	36	False	SSD_dispersed	pre2R_ancient
ZBTB38	singleton	ENSG00000177311	False	False	False	0		18.0	Bilateria	2	False	SSD_dispersed	pre2R_ancient
MYNN	singleton	ENSG00000085274	False	False	False	0		18.0	Bilateria	50	False	SSD_dispersed	pre2R_ancient
BCL6	singleton	ENSG00000113916	False	False	False	0		18.0	Bilateria	28	False	SSD_dispersed	pre2R_ancient
ZBTB49	singleton	ENSG00000168826	False	False	True	2	Vertebrata	18.0	Bilateria	28	False	WGD_ohnolog	pre2R_ancient
ZNF131	singleton	ENSG00000172262	False	False	False	0		18.0	Bilateria	29	False	SSD_dispersed	pre2R_ancient
ZBTB12	singleton	ENSG00000204366	False	False	False	0		18.0	Bilateria	28	False	SSD_dispersed	pre2R_ancient
ZBTB22	singleton	ENSG00000236104	False	False	False	0				0	False	SSD_dispersed	no_paralog_node
ZBTB9	singleton	ENSG00000213588	False	False	False	0				0	False	SSD_dispersed	no_paralog_node
ZBTB2	singleton	ENSG00000181472	False	False	True	6	Vertebrata			0	False	WGD_ohnolog	no_paralog_node
ZBTB10	singleton	ENSG00000205189	True	True	True	5	Vertebrata			0	False	WGD_ohnolog	no_paralog_node
ZBTB5	singleton	ENSG00000168795	False	False	True	3	Vertebrata	18.0	Bilateria	4	False	WGD_ohnolog	pre2R_ancient
ZBTB33	singleton	ENSG00000177485	False	False	False	0		18.0	Bilateria	28	False	SSD_dispersed	pre2R_ancient
PRDM16	singleton	ENSG00000142611	True	True	True	1	Vertebrata	18.0	Bilateria	1	False	WGD_ohnolog	pre2R_ancient
