gene	genomic_class	arrangement	provenance	dup_class4	TF_subfamily	in_lambert	hgnc_locus_type	is_ohnolog	is_ohnolog_relaxed	ohnolog_rescue_via_cluster	cluster_id	n_ohnolog_partners	ohnolog_dup_time	youngest_paralog_node	age_category	hgnc_id	is_IEI	is_IEI_amberplus	is_IEI_monoallelic	lineage	origin_window
ZSCAN23	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0066	0		Vertebrata	2R_vertebrata	HGNC:21193	False	False	False		human_only
ZSCAN30	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0062	0		Vertebrata	2R_vertebrata	HGNC:33517	False	False	False		human_only
ZSCAN31	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0066	0		Vertebrata	2R_vertebrata	HGNC:14097	False	False	False		human_only
ZSCAN32	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0061	0		Bilateria	pre2R_ancient	HGNC:20812	False	False	False		before_R1
ZSCAN5A	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0063	0		Catarrhini	post2R_young	HGNC:23710	False	False	False		before_R1
ZSCAN5B	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0063	0		Bilateria	pre2R_ancient	HGNC:34246	False	False	False		before_R1
ZSCAN5C	clustered	clustered	SSD	clustered_SSD_tandem	C2H2 ZF	True	gene with protein product	False	False	False	clust0063	0		Catarrhini	post2R_young	HGNC:34294	False	False	False		before_R1
DMRT1	clustered	clustered	SSD	clustered_SSD_tandem	DM	True	gene with protein product	False	False	False	clust0029	0		Bilateria	pre2R_ancient	HGNC:2934	False	False	False		before_R1
DMRT2	clustered	clustered	SSD	clustered_SSD_tandem	DM	True	gene with protein product	False	False	False	clust0029	0		Bilateria	pre2R_ancient	HGNC:2935	False	False	False		before_R1
DMRT3	clustered	clustered	SSD	clustered_SSD_tandem	DM	True	gene with protein product	False	False	False	clust0029	0		Bilateria	pre2R_ancient	HGNC:13909	False	False	False		before_R1
FOXC2	clustered	clustered	SSD	clustered_SSD_tandem	Forkhead	True	gene with protein product	False	False	False	clust0035	0		Opisthokonta	pre2R_ancient	HGNC:3801	False	False	False		before_R1
FOXL1	clustered	clustered	SSD	clustered_SSD_tandem	Forkhead	True	gene with protein product	False	False	False	clust0035	0		Opisthokonta	pre2R_ancient	HGNC:3817	False	False	False		before_R1
GTF2I	clustered	clustered	SSD	clustered_SSD_tandem	GTF2I-like	True	gene with protein product	False	False	False	clust0037	0		Bilateria	pre2R_ancient	HGNC:4659	False	False	False		after_R2
GTF2IRD1	clustered	clustered	SSD	clustered_SSD_tandem	GTF2I-like	True	gene with protein product	False	False	False	clust0037	0		Bilateria	pre2R_ancient	HGNC:4661	False	False	False		after_R2
HSFY1	clustered	clustered	SSD	clustered_SSD_tandem	HSF	True	gene with protein product	False	False	False	clust0038	0		Homo sapiens	post2R_young	HGNC:18568	False	False	False		before_R1
HSFY2	clustered	clustered	SSD	clustered_SSD_tandem	HSF	True	gene with protein product	False	False	False	clust0038	0		Homo sapiens	post2R_young	HGNC:23950	False	False	False		before_R1
NANOG	clustered	clustered	SSD	clustered_SSD_tandem	Homeodomain	True	gene with protein product	False	False	False	clust0042	0		Hominoidea	post2R_young	HGNC:20857	False	False	False		before_R1
NANOGNB	clustered	clustered	SSD	clustered_SSD_tandem	Homeodomain	True	gene with protein product	False	False	False	clust0042	0		Bilateria	pre2R_ancient	HGNC:24958	False	False	False		before_R1
RHOXF1	clustered	clustered	SSD	clustered_SSD_tandem	Homeodomain	True	gene with protein product	False	False	False	clust0055	0		Bilateria	pre2R_ancient	HGNC:29993	False	False	False		after_R2
RHOXF2	clustered	clustered	SSD	clustered_SSD_tandem	Homeodomain	True	gene with protein product	False	False	False	clust0055	0		Homo sapiens	post2R_young	HGNC:30011	False	False	False		human_only
RHOXF2B	clustered	clustered	SSD	clustered_SSD_tandem	Homeodomain	True	gene with protein product	False	False	False	clust0055	0		Homo sapiens	post2R_young	HGNC:33519	False	False	False		human_only
SP100	clustered	clustered	SSD	clustered_SSD_tandem	SAND	True	gene with protein product	False	False	False	clust0060	0		Bilateria	pre2R_ancient	HGNC:11206	False	False	False		before_R1
SP110	clustered	clustered	SSD	clustered_SSD_tandem	SAND	True	gene with protein product	False	False	False	clust0060	0		Bilateria	pre2R_ancient	HGNC:9118	True	False	False		before_R1
SP140	clustered	clustered	SSD	clustered_SSD_tandem	SAND	True	gene with protein product	False	False	False	clust0060	0		Bilateria	pre2R_ancient	HGNC:17133	False	False	False		before_R1
SP140L	clustered	clustered	SSD	clustered_SSD_tandem	SAND	True	gene with protein product	False	False	False	clust0060	0		Bilateria	pre2R_ancient	HGNC:25105	False	False	False		before_R1
FERD3L	clustered	clustered	SSD	clustered_SSD_tandem	bHLH	True	gene with protein product	False	False	False	clust0075	0		Bilateria	pre2R_ancient	HGNC:16660	False	False	False		before_R1
MESP1	clustered	clustered	SSD	clustered_SSD_tandem	bHLH	True	gene with protein product	False	False	False	clust0073	0		Eutheria	post2R_young	HGNC:29658	False	False	False		before_R1
MESP2	clustered	clustered	SSD	clustered_SSD_tandem	bHLH	True	gene with protein product	False	False	False	clust0073	0		Eutheria	post2R_young	HGNC:29659	False	False	False		before_R1
OLIG1	clustered	clustered	SSD	clustered_SSD_tandem	bHLH	True	gene with protein product	False	False	False	clust0074	0		Bilateria	pre2R_ancient	HGNC:16983	False	False	False		before_R1
OLIG2	clustered	clustered	SSD	clustered_SSD_tandem	bHLH	True	gene with protein product	False	False	False	clust0074	0		Bilateria	pre2R_ancient	HGNC:9398	False	False	False		before_R1
SOHLH2	clustered	clustered	SSD	clustered_SSD_tandem	bHLH	True	gene with protein product	False	False	False	clust0072	0			no_paralog_node	HGNC:26026	False	False	False		after_R2
TWIST1	clustered	clustered	SSD	clustered_SSD_tandem	bHLH	True	gene with protein product	False	False	False	clust0075	0		Bilateria	pre2R_ancient	HGNC:12428	False	False	False		before_R1
TFAP2B	clustered	clustered	ohnolog	clustered_cis_ohnolog	AP-2	True	gene with protein product	True	True	False	clust0001	3	Vertebrata	Vertebrata	2R_vertebrata	HGNC:11743	False	False	False		before_R1
TFAP2D	clustered	clustered	ohnolog	clustered_cis_ohnolog	AP-2	True	gene with protein product	True	True	False	clust0001	3	Vertebrata	Vertebrata	2R_vertebrata	HGNC:15581	False	False	False	alpha	before_R1
GLI4	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	False	True	clust0028	0		Bilateria	pre2R_ancient	HGNC:4320	False	False	False		human_only
KLF12	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0008	2	Vertebrata	Bilateria	pre2R_ancient	HGNC:6346	False	False	False	alpha	before_R1
KLF5	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	False	True	clust0008	0		Bilateria	pre2R_ancient	HGNC:6349	False	False	False	alpha	before_R1
SALL4	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0021	3	Vertebrata	Bilateria	pre2R_ancient	HGNC:15924	False	False	False	beta	R1_to_R2
SP1	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0007	2	Vertebrata	Bilateria	pre2R_ancient	HGNC:11205	False	False	False	beta	before_R1
SP2	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0013	2	Vertebrata	Bilateria	pre2R_ancient	HGNC:11207	False	False	False	beta	after_R2
SP4	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0025	2	Vertebrata	Bilateria	pre2R_ancient	HGNC:11209	False	False	False		R1_to_R2
SP6	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0013	1	Vertebrata	Bilateria	pre2R_ancient	HGNC:14530	False	False	False	beta	before_R1
SP7	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0007	2	Vertebrata	Bilateria	pre2R_ancient	HGNC:17321	False	False	False	alpha	before_R1
SP8	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0025	2	Vertebrata	Bilateria	pre2R_ancient	HGNC:19196	False	False	False	alpha	before_R1
TSHZ2	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0021	2	Vertebrata		no_paralog_node	HGNC:13010	False	False	False	beta	before_R1
TSHZ3	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0017	2	Vertebrata		no_paralog_node	HGNC:30700	False	False	False	alpha	before_R1
ZBTB8A	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0002	5	Vertebrata		no_paralog_node	HGNC:24172	False	False	False		after_R2
ZBTB8B	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0002	4	Vertebrata	Euteleostomi	2R_vertebrata	HGNC:37057	False	False	False		after_R2
ZFP41	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	False	True	clust0028	0		Bilateria	pre2R_ancient	HGNC:26786	False	False	False		before_R1
ZFP64	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	False	True	clust0021	0		Bilateria	pre2R_ancient	HGNC:15940	False	False	False	beta	before_R1
ZFPM1	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0012	1	Vertebrata	Vertebrata	2R_vertebrata	HGNC:19762	False	False	False	alpha	before_R1
ZIC1	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0024	3	Vertebrata	Bilateria	pre2R_ancient	HGNC:12872	False	False	False	alpha	before_R1
ZIC2	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0009	3	Vertebrata	Bilateria	pre2R_ancient	HGNC:12873	False	False	False	alpha	after_R2
ZIC4	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0024	3	Vertebrata	Bilateria	pre2R_ancient	HGNC:20393	False	False	False	alpha	R1_to_R2
ZIC5	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0009	3	Vertebrata	Bilateria	pre2R_ancient	HGNC:20322	False	False	False	alpha	R1_to_R2
ZNF217	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	False	True	clust0021	0		Bilateria	pre2R_ancient	HGNC:13009	False	False	False	beta	after_R2
ZNF280A	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0022	1	Vertebrata	Bilateria	pre2R_ancient	HGNC:18597	False	False	False		human_only
ZNF280B	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0022	1	Vertebrata	Bilateria	pre2R_ancient	HGNC:23022	False	False	False		R1_to_R2
ZNF35	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0023	2	Vertebrata	Bilateria	pre2R_ancient	HGNC:13099	False	False	False		before_R1
ZNF469	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	False	True	clust0012	0			no_paralog_node	HGNC:23216	False	False	False		after_R2
ZNF501	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	False	True	clust0023	0		Mammalia	post2R_young	HGNC:23717	False	False	False		R1_to_R2
ZNF502	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0023	4	Vertebrata	Bilateria	pre2R_ancient	HGNC:23718	False	False	False		human_only
ZNF507	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	False	True	clust0017	0		Bilateria	pre2R_ancient	HGNC:23783	False	False	False	alpha	R1_to_R2
ZNF536	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	False	True	clust0017	0		Bilateria	pre2R_ancient	HGNC:29025	False	False	False	alpha	R1_to_R2
ZNF660	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0023	2	Vertebrata	Bilateria	pre2R_ancient	HGNC:26720	False	False	False		after_R2
ZNF696	clustered	clustered	ohnolog	clustered_cis_ohnolog	C2H2 ZF	True	gene with protein product	True	True	False	clust0028	2	Vertebrata	Eutheria	post2R_young	HGNC:25872	False	False	False		human_only
EHF	clustered	clustered	ohnolog	clustered_cis_ohnolog	Ets	True	gene with protein product	True	True	False	clust0031	1	Vertebrata	Bilateria	pre2R_ancient	HGNC:3246	False	False	False	alpha	R1_to_R2
ELF5	clustered	clustered	ohnolog	clustered_cis_ohnolog	Ets	True	gene with protein product	True	False	True	clust0031	0		Bilateria	pre2R_ancient	HGNC:3320	False	False	False	alpha	after_R2
ERG	clustered	clustered	ohnolog	clustered_cis_ohnolog	Ets	True	gene with protein product	True	False	True	clust0033	0		Bilateria	pre2R_ancient	HGNC:3446	False	False	False	beta	after_R2
ETS1	clustered	clustered	ohnolog	clustered_cis_ohnolog	Ets	True	gene with protein product	True	True	False	clust0032	1	Vertebrata	Bilateria	pre2R_ancient	HGNC:3488	False	False	False	beta	R1_to_R2
ETS2	clustered	clustered	ohnolog	clustered_cis_ohnolog	Ets	True	gene with protein product	True	True	False	clust0033	1	Vertebrata	Bilateria	pre2R_ancient	HGNC:3489	False	False	False	beta	R1_to_R2
ETV3	clustered	clustered	ohnolog	clustered_cis_ohnolog	Ets	True	gene with protein product	True	True	False	clust0030	1	Vertebrata	Bilateria	pre2R_ancient	HGNC:3492	False	False	False	beta	R1_to_R2
ETV3L	clustered	clustered	ohnolog	clustered_cis_ohnolog	Ets	True	gene with protein product	True	True	False	clust0030	1	Vertebrata	Bilateria	pre2R_ancient	HGNC:33834	False	False	False	beta	before_R1
FLI1	clustered	clustered	ohnolog	clustered_cis_ohnolog	Ets	True	gene with protein product	True	False	True	clust0032	0		Bilateria	pre2R_ancient	HGNC:3749	False	False	False	beta	R1_to_R2
FOXC1	clustered	clustered	ohnolog	clustered_cis_ohnolog	Forkhead	True	gene with protein product	True	False	True	clust0036	0		Opisthokonta	pre2R_ancient	HGNC:3800	False	False	False		R1_to_R2
FOXD2	clustered	clustered	ohnolog	clustered_cis_ohnolog	Forkhead	True	gene with protein product	True	True	False	clust0034	1	Vertebrata	Opisthokonta	pre2R_ancient	HGNC:3803	False	False	False		before_R1
FOXE3	clustered	clustered	ohnolog	clustered_cis_ohnolog	Forkhead	True	gene with protein product	True	False	True	clust0034	0		Opisthokonta	pre2R_ancient	HGNC:3808	False	False	False	alpha	after_R2
FOXF2	clustered	clustered	ohnolog	clustered_cis_ohnolog	Forkhead	True	gene with protein product	True	True	False	clust0036	1	Vertebrata	Bilateria	pre2R_ancient	HGNC:3810	False	False	False	alpha	R1_to_R2
FOXQ1	clustered	clustered	ohnolog	clustered_cis_ohnolog	Forkhead	True	gene with protein product	True	False	True	clust0036	0		Opisthokonta	pre2R_ancient	HGNC:20951	False	False	False		before_R1
CDX2	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0043	2	Vertebrata	Bilateria	pre2R_ancient	HGNC:1806	False	False	False	alpha	R1_to_R2
CRX	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0048	2	Older	Bilateria	pre2R_ancient	HGNC:2383	False	False	False		R1_to_R2
DLX1	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0050	2	Vertebrata	Bilateria	pre2R_ancient	HGNC:2914	False	False	False	alpha	before_R1
DLX2	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0050	2	Vertebrata	Bilateria	pre2R_ancient	HGNC:2915	False	False	False	alpha	before_R1
DLX3	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0047	2	Vertebrata	Bilateria	pre2R_ancient	HGNC:2916	False	False	False	beta	before_R1
DLX4	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0047	2	Vertebrata	Bilateria	pre2R_ancient	HGNC:2917	False	False	False		before_R1
DLX5	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0053	2	Vertebrata	Bilateria	pre2R_ancient	HGNC:2918	False	False	False		before_R1
DLX6	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0053	2	Vertebrata	Bilateria	pre2R_ancient	HGNC:2919	False	False	False	alpha	before_R1
GSX1	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0043	1	Vertebrata	Euteleostomi	2R_vertebrata	HGNC:20374	False	False	False	alpha	before_R1
HMX2	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0041	1	Vertebrata	Bilateria	pre2R_ancient	HGNC:5018	False	False	False	alpha	after_R2
HMX3	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0041	1	Vertebrata	Bilateria	pre2R_ancient	HGNC:5019	False	False	False	alpha	R1_to_R2
IRX1	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0052	3	Vertebrata	Bilateria	pre2R_ancient	HGNC:14358	False	False	False	alpha	R1_to_R2
IRX2	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0052	3	Vertebrata	Bilateria	pre2R_ancient	HGNC:14359	False	False	False		R1_to_R2
IRX3	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0046	3	Vertebrata	Bilateria	pre2R_ancient	HGNC:14360	False	False	False	alpha	R1_to_R2
IRX4	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0052	3	Vertebrata	Bilateria	pre2R_ancient	HGNC:6129	False	False	False		R1_to_R2
IRX5	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0046	3	Vertebrata	Bilateria	pre2R_ancient	HGNC:14361	False	False	False	alpha	R1_to_R2
IRX6	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0046	3	Vertebrata	Bilateria	pre2R_ancient	HGNC:14675	False	False	False	alpha	R1_to_R2
LBX1	clustered	clustered	ohnolog	clustered_cis_ohnolog	Homeodomain	True	gene with protein product	True	True	False	clust0040	1	Vertebrata	Bilateria	pre2R_ancient	HGNC:16960	False	False	False	alpha	before_R1
