cluster_id	dup_class4	family	parent_DBD_family	chrom	n_members	members	member_strands	member_tss	cluster_start	cluster_end	span_bp	win_start	win_end	win_len_bp	clipped
clust0037	clustered_SSD_tandem	GTF2I-like	GTF2I-like	chr7	2	GTF2IRD1,GTF2I	+,+	74453790,74650231	74453790	74760692	306902	74353790	74860692	506902	none
clust0027	clustered_SSD_tandem	C2H2 ZF (other)	C2H2 ZF	chr7	2	REPIN1,ZNF775	+,+	150368189,150368790	150368189	150398630	30441	150268189	150498630	230441	none
clust0029	clustered_SSD_tandem	DM	DM	chr9	3	DMRT1,DMRT3,DMRT2	+,+,+	841690,976655,1049858	841690	1057552	215862	741690	1157552	415862	none
clust0004	clustered_SSD_tandem	BTB-ZNF	C2H2 ZF	chr9	2	ZBTB6,ZBTB26	-,-	122913323,122931512	122908056	122931512	23456	122808056	123031512	223456	none
clust0005	clustered_SSD_tandem	BTB-ZNF	C2H2 ZF	chr9	2	ZBTB43,ZBTB34	+,+	126805006,126860639	126805006	126885878	80872	126705006	126985878	280872	none
clust0055	clustered_SSD_tandem	Homeodomain	Homeodomain	chrX	3	RHOXF2B,RHOXF1,RHOXF2	-,-,+	120077690,120245267,120158613	120072264	120245267	173003	119972264	120345267	373003	none
clust0002	clustered_cis_ohnolog	BTB-ZNF	C2H2 ZF	chr1	2	ZBTB8B,ZBTB8A	+,+	32465072,32539427	32465072	32605941	140869	32365072	32705941	340869	none
clust0034	clustered_cis_ohnolog	Forkhead	Forkhead	chr1	2	FOXE3,FOXD2	+,+	47416285,47438044	47416285	47440691	24406	47316285	47540691	224406	none
clust0030	clustered_cis_ohnolog	Ets	Ets	chr1	2	ETV3L,ETV3	-,-	157112412,157138474	157092043	157138474	46431	156992043	157238474	246431	none
clust0039	clustered_cis_ohnolog	Homeodomain	Homeodomain	chr1	2	PBX1,LMX1A	+,-	164555584,165356715	164555584	165356715	801131	164455584	165456715	1001131	none
clust0040	clustered_cis_ohnolog	Homeodomain	Homeodomain	chr10	2	TLX1,LBX1	+,-	101131300,101229463	101131300	101229463	98163	101031300	101329463	298163	none
clust0041	clustered_cis_ohnolog	Homeodomain	Homeodomain	chr10	2	HMX3,HMX2	+,+	123135970,123148136	123135970	123150672	14702	123035970	123250672	214702	none
clust0031	clustered_cis_ohnolog	Ets	Ets	chr11	2	ELF5,EHF	-,+	34525193,34621093	34478791	34663288	184497	34378791	34763288	384497	none
clust0032	clustered_cis_ohnolog	Ets	Ets	chr11	2	ETS1,FLI1	-,+	128587558,128686535	128458761	128813267	354506	128358761	128913267	554506	none
clust0007	clustered_cis_ohnolog	C2H2 ZF (other)	C2H2 ZF	chr12	2	SP7,SP1	-,+	53345315,53380176	53326575	53416446	89871	53226575	53516446	289871	none
clust0076	clustered_cis_ohnolog	bZIP	bZIP	chr12	2	AC023509.3,ATF7	-,-	53625979,53626410	53506691	53626410	119719	53406691	53726410	319719	none
clust0071	clustered_cis_ohnolog	bHLH	bHLH	chr12	2	MYF6,MYF5	+,+	80707634,80716912	80707634	80719671	12037	80607634	80819671	212037	none
clust0069	clustered_cis_ohnolog	T-box	T-box	chr12	2	TBX5,TBX3	-,-	114408442,114684175	114353911	114684175	330264	114253911	114784175	530264	none
clust0043	clustered_cis_ohnolog	Homeodomain	Homeodomain	chr13	3	GSX1,PDX1,CDX2	+,+,-	27792483,27920000,27969315	27792483	27969315	176832	27692483	28069315	376832	none
clust0008	clustered_cis_ohnolog	C2H2 ZF (other)	C2H2 ZF	chr13	2	KLF5,KLF12	+,-	73054976,74134404	73054976	74134404	1079428	72954976	74234404	1279428	none
clust0009	clustered_cis_ohnolog	C2H2 ZF (other)	C2H2 ZF	chr13	2	ZIC5,ZIC2	-,+	99971767,99981784	99962964	99986765	23801	99862964	100086765	223801	none
clust0044	clustered_cis_ohnolog	Homeodomain	Homeodomain	chr14	2	NKX2-1,NKX2-8	-,-	36521149,36582614	36516392	36582614	66222	36416392	36682614	266222	none
clust0045	clustered_cis_ohnolog	Homeodomain	Homeodomain	chr14	3	SIX6,SIX1,SIX4	+,-,-	60509146,60658259,60724351	60509146	60724351	215205	60409146	60824351	415205	none
clust0077	clustered_cis_ohnolog	bZIP	bZIP	chr14	3	FOS,JDP2,BATF	+,+,+	75278826,75427716,75522455	75278826	75546993	268167	75178826	75646993	468167	none
clust0046	clustered_cis_ohnolog	Homeodomain	Homeodomain	chr16	3	IRX3,IRX5,IRX6	-,+,+	54286787,54930865,55324203	54283304	55330756	1047452	54183304	55430756	1247452	none
clust0012	clustered_cis_ohnolog	C2H2 ZF (other)	C2H2 ZF	chr16	2	ZNF469,ZFPM1	+,+	88382959,88453280	88382959	88537031	154072	88282959	88637031	354072	none
clust0057	clustered_cis_ohnolog	Nuclear receptor	Nuclear receptor	chr17	2	THRA,NR1D1	+,-	40058290,40100589	40058290	40100589	42299	39958290	40200589	242299	none
clust0067	clustered_cis_ohnolog	STAT	STAT	chr17	3	STAT5B,STAT5A,STAT3	-,+,-	42288633,42287547,42388568	42199176	42388568	189392	42099176	42488568	389392	none
clust0013	clustered_cis_ohnolog	C2H2 ZF (other)	C2H2 ZF	chr17	2	SP6,SP2	-,+	47855874,47896150	47844908	47928957	84049	47744908	48028957	284049	none
clust0047	clustered_cis_ohnolog	Homeodomain	Homeodomain	chr17	2	DLX4,DLX3	+,-	49968588,49995224	49968588	49995224	26636	49868588	50095224	226636	none
clust0070	clustered_cis_ohnolog	T-box	T-box	chr17	2	TBX2,TBX4	+,+	61399843,61452404	61399843	61485110	85267	61299843	61585110	285267	none
clust0056	clustered_cis_ohnolog	MADS box	MADS box	chr19	2	MEF2B,BORCS8-MEF2B	-,-	19192131,19192158	19145567	19192158	46591	19045567	19292158	246591	none
clust0017	clustered_cis_ohnolog	C2H2 ZF (other)	C2H2 ZF	chr19	3	ZNF536,TSHZ3,ZNF507	+,-,+	30224891,31349436,32345594	30224891	32387667	2162776	30124891	32487667	2362776	none
clust0078	clustered_cis_ohnolog	bZIP	bZIP	chr19	2	CEBPA,CEBPG	-,+	33302534,33373685	33299934	33382686	82752	33199934	33482686	282752	none
clust0048	clustered_cis_ohnolog	Homeodomain	Homeodomain	chr19	2	TPRX1,CRX	-,+	47819051,47819779	47801232	47843330	42098	47701232	47943330	242098	none
clust0049	clustered_cis_ohnolog	Homeodomain	Homeodomain	chr2	2	SIX3,SIX2	+,-	44941702,45009452	44941702	45009452	67750	44841702	45109452	267750	none
clust0050	clustered_cis_ohnolog	Homeodomain	Homeodomain	chr2	2	DLX1,DLX2	+,-	172084740,172102900	172084740	172102900	18160	171984740	172202900	218160	none
clust0068	clustered_cis_ohnolog	STAT	STAT	chr2	2	STAT1,STAT4	-,-	191020960,191151596	190908460	191151596	243136	190808460	191251596	443136	none
clust0051	clustered_cis_ohnolog	Homeodomain	Homeodomain	chr20	2	NKX2-4,NKX2-2	-,-	21397526,21514064	21395365	21514064	118699	21295365	21614064	318699	none
clust0021	clustered_cis_ohnolog	C2H2 ZF (other)	C2H2 ZF	chr20	4	SALL4,ZFP64,TSHZ2,ZNF217	-,-,+,-	51802521,52204308,52972358,53609907	51782331	53609907	1827576	51682331	53709907	2027576	none
clust0033	clustered_cis_ohnolog	Ets	Ets	chr21	2	ERG,ETS2	-,+	38661780,38805183	38380027	38824955	444928	38280027	38924955	644928	none
clust0022	clustered_cis_ohnolog	C2H2 ZF (other)	C2H2 ZF	chr22	2	ZNF280B,ZNF280A	-,-	22508742,22520270	22484421	22520270	35849	22384421	22620270	235849	none
clust0058	clustered_cis_ohnolog	Nuclear receptor	Nuclear receptor	chr3	3	NR1D2,THRB,RARB	+,-,+	23945286,24495756,24687887	23945286	25597932	1652646	23845286	25697932	1852646	none
clust0023	clustered_cis_ohnolog	C2H2 ZF (other)	C2H2 ZF	chr3	4	ZNF660,ZNF35,ZNF502,ZNF501	+,+,+,+	44578223,44648732,44712643,44729596	44578223	44737083	158860	44478223	44837083	358860	none
clust0024	clustered_cis_ohnolog	C2H2 ZF (other)	C2H2 ZF	chr3	2	ZIC4,ZIC1	-,+	147406809,147393422	147386046	147510293	124247	147286046	147610293	324247	none
clust0052	clustered_cis_ohnolog	Homeodomain	Homeodomain	chr5	3	IRX4,IRX2,IRX1	-,-,+	1887236,2751677,3595832	1877413	3601403	1723990	1777413	3701403	1923990	none
clust0036	clustered_cis_ohnolog	Forkhead	Forkhead	chr6	3	FOXQ1,FOXF2,FOXC1	+,+,+	1312098,1389576,1609915	1312098	1613897	301799	1212098	1713897	501799	none
clust0001	clustered_cis_ohnolog	AP-2	AP-2	chr6	2	TFAP2D,TFAP2B	+,+	50713526,50818723	50713526	50847619	134093	50613526	50947619	334093	none
clust0025	clustered_cis_ohnolog	C2H2 ZF (other)	C2H2 ZF	chr7	2	SP8,SP4	-,+	20786886,21428043	20782279	21514822	732543	20682279	21614822	932543	none
clust0053	clustered_cis_ohnolog	Homeodomain	Homeodomain	chr7	2	DLX6,DLX5	+,-	97005553,97024950	97005553	97024950	19397	96905553	97124950	219397	none
clust0054	clustered_cis_ohnolog	Homeodomain	Homeodomain	chr8	2	NKX3-1,NKX2-6	-,-	23682938,23706756	23678697	23706756	28059	23578697	23806756	228059	none
clust0028	clustered_cis_ohnolog	C2H2 ZF (other)	C2H2 ZF	chr8	4	ZFP41,AC138696.1,GLI4,ZNF696	+,+,+,+	143246821,143247110,143267433,143289676	143246821	143299952	53131	143146821	143399952	253131	none
clust0059	clustered_cis_ohnolog	Nuclear receptor	Nuclear receptor	chr9	2	NR5A1,NR6A1	-,-	124507420,124771311	124481236	124771311	290075	124381236	124871311	490075	none
