gene	origin_window	deepest_ortholog_species	deepest_clade	n_species_with_ortholog	invertebrate_ortholog	cyclostome_ortholog	gnathostome_ortholog	in_scerevisiae	in_celegans	in_dmelanogaster	in_cintestinalis	in_csavignyi	in_eburgeri	in_pmarinus	in_cmilii	in_lchalumnae	in_drerio	in_xtropicalis	in_ggallus	in_mmusculus	dup_class4	provenance	arrangement	TF_subfamily	cluster_id
ARNT2	before_R1	celegans	Protostomia	11	True	True	True	0	1	1	1	1	1	1	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	bHLH	
ARNTL	before_R1	celegans	Protostomia	10	True	True	True	0	1	1	1	0	1	1	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	bHLH	
ARNTL2	before_R1	celegans	Protostomia	10	True	True	True	0	1	1	1	0	1	1	0	1	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	bHLH	
ARX	R1_to_R2	eburgeri	Cyclostomata	7	False	True	True	0	0	0	0	0	1	0	1	1	1	1	1	1	dispersed_SSD	SSD	dispersed	Homeodomain	
ASCL1	before_R1	dmelanogaster	Protostomia	7	True	True	True	0	0	1	0	0	1	0	1	0	1	1	1	1	dispersed_SSD	SSD	dispersed	bHLH	
ASCL2	before_R1	celegans	Protostomia	6	True	True	True	0	1	1	0	0	1	0	0	0	1	0	1	1	dispersed_SSD	SSD	dispersed	bHLH	
ASCL3	before_R1	dmelanogaster	Protostomia	5	True	False	True	0	0	1	0	1	0	0	0	0	1	1	0	1	dispersed_ohnolog	ohnolog	dispersed	bHLH	
ASCL4	before_R1	dmelanogaster	Protostomia	7	True	True	True	0	0	1	1	0	0	1	1	0	0	1	1	1	dispersed_ohnolog	ohnolog	dispersed	bHLH	
ASCL5	before_R1	celegans	Protostomia	3	True	False	True	0	1	1	0	0	0	0	0	0	0	0	0	1	dispersed_SSD	SSD	dispersed	bHLH	
ASH1L	before_R1	celegans	Protostomia	10	True	True	True	0	1	1	1	0	1	1	1	0	1	1	1	1	dispersed_SSD	SSD	dispersed	AT hook	
ATF1	before_R1	celegans	Protostomia	7	True	False	True	0	1	1	1	0	0	0	1	0	0	1	1	1	dispersed_ohnolog	ohnolog	dispersed	bZIP	
ATF2	before_R1	scerevisiae	Fungi	11	True	True	True	1	1	0	1	0	1	1	1	1	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	bZIP	
ATF3	before_R1	dmelanogaster	Protostomia	9	True	True	True	0	0	1	1	0	1	1	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	bZIP	
ATF4	before_R1	celegans	Protostomia	7	True	False	True	0	1	0	1	0	0	0	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	bZIP	
ATF5	before_R1	celegans	Protostomia	5	True	False	True	0	1	0	1	0	0	0	0	0	1	1	0	1	dispersed_ohnolog	ohnolog	dispersed	bZIP	
ATF6	before_R1	celegans	Protostomia	8	True	False	True	0	1	1	1	0	0	0	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	bZIP	
ATF6B	before_R1	celegans	Protostomia	9	True	True	True	0	1	1	0	1	1	1	0	1	1	1	0	1	dispersed_ohnolog	ohnolog	dispersed	bZIP	
ATF7	before_R1	scerevisiae	Fungi	9	True	True	True	1	1	0	1	0	0	1	1	0	1	1	1	1	clustered_cis_ohnolog	ohnolog	clustered	bZIP	clust0076
ATMIN	R1_to_R2	eburgeri	Cyclostomata	7	False	True	True	0	0	0	0	0	1	1	1	0	1	1	1	1	dispersed_SSD	SSD	dispersed	C2H2 ZF	
ATOH1	before_R1	celegans	Protostomia	10	True	True	True	0	1	1	1	1	1	0	1	0	1	1	1	1	dispersed_SSD	SSD	dispersed	bHLH	
ATOH7	before_R1	celegans	Protostomia	9	True	False	True	0	1	1	1	1	0	0	1	0	1	1	1	1	dispersed_SSD	SSD	dispersed	bHLH	
ATOH8	before_R1	dmelanogaster	Protostomia	7	True	True	True	0	0	1	1	0	1	0	0	0	1	1	1	1	dispersed_SSD	SSD	dispersed	bHLH	
BACH1	R1_to_R2	eburgeri	Cyclostomata	6	False	True	True	0	0	0	0	0	1	0	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	bZIP	
BACH2	before_R1	cintestinalis	Tunicata	7	True	False	True	0	0	0	1	0	0	0	1	1	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	bZIP	
BARHL1	before_R1	celegans	Protostomia	9	True	True	True	0	1	1	1	0	1	0	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	Homeodomain	
BARHL2	before_R1	celegans	Protostomia	9	True	True	True	0	1	1	0	0	1	1	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	Homeodomain	
BARX1	before_R1	celegans	Protostomia	9	True	True	True	0	1	1	0	0	1	1	1	0	1	1	1	1	dispersed_SSD	SSD	dispersed	Homeodomain	
BARX2	before_R1	celegans	Protostomia	10	True	True	True	0	1	1	1	0	1	0	1	1	1	1	1	1	dispersed_SSD	SSD	dispersed	Homeodomain	
BATF	before_R1	dmelanogaster	Protostomia	7	True	False	True	0	0	1	1	0	0	0	1	0	1	1	1	1	clustered_cis_ohnolog	ohnolog	clustered	bZIP	clust0077
BATF2	before_R1	dmelanogaster	Protostomia	4	True	False	True	0	0	1	1	0	0	0	0	0	1	0	0	1	dispersed_SSD	SSD	dispersed	bZIP	
BATF3	before_R1	dmelanogaster	Protostomia	6	True	False	True	0	0	1	1	0	0	0	0	0	1	1	1	1	dispersed_SSD	SSD	dispersed	bZIP	
BAZ2A	before_R1	scerevisiae	Fungi	10	True	False	True	1	1	1	1	0	0	0	1	1	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	MBD; AT hook	
BAZ2B	before_R1	scerevisiae	Fungi	10	True	True	True	1	1	0	1	0	1	1	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	MBD	
BBX	before_R1	dmelanogaster	Protostomia	7	True	False	True	0	0	1	0	0	0	0	1	1	1	1	1	1	dispersed_SSD	SSD	dispersed	HMG/Sox	
BCL11A	R1_to_R2	eburgeri	Cyclostomata	6	False	True	True	0	0	0	0	0	1	0	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	C2H2 ZF	
BCL11B	after_R2	cmilii	Chondrichthyes	5	False	False	True	0	0	0	0	0	0	0	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	C2H2 ZF	
BCL6	before_R1	cintestinalis	Tunicata	7	True	False	True	0	0	0	1	0	0	0	1	1	1	1	1	1	dispersed_SSD	SSD	dispersed	C2H2 ZF	
BCL6B	R1_to_R2	eburgeri	Cyclostomata	3	False	True	True	0	0	0	0	0	1	0	0	0	1	0	0	1	dispersed_SSD	SSD	dispersed	C2H2 ZF	
BHLHA15	before_R1	dmelanogaster	Protostomia	9	True	True	True	0	0	1	1	1	1	0	1	0	1	1	1	1	dispersed_SSD	SSD	dispersed	bHLH	
BHLHA9	before_R1	celegans	Protostomia	9	True	False	True	0	1	1	0	1	0	0	1	1	1	1	1	1	dispersed_SSD	SSD	dispersed	bHLH	
BHLHE22	before_R1	celegans	Protostomia	9	True	True	True	0	1	1	1	1	1	0	1	0	1	1	0	1	dispersed_ohnolog	ohnolog	dispersed	bHLH	
BHLHE23	before_R1	celegans	Protostomia	8	True	True	True	0	1	1	1	0	1	0	0	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	bHLH	
BHLHE40	before_R1	scerevisiae	Fungi	9	True	True	True	1	0	1	1	0	1	1	0	0	1	1	1	1	dispersed_SSD	SSD	dispersed	bHLH	
BHLHE41	before_R1	scerevisiae	Fungi	10	True	True	True	1	0	1	1	0	1	1	1	0	1	1	1	1	dispersed_SSD	SSD	dispersed	bHLH	
BNC1	before_R1	celegans	Protostomia	10	True	True	True	0	1	1	1	0	1	1	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	C2H2 ZF	
BNC2	before_R1	celegans	Protostomia	7	True	False	True	0	1	1	1	0	0	0	1	0	0	1	1	1	dispersed_ohnolog	ohnolog	dispersed	C2H2 ZF	
BSX	before_R1	celegans	Protostomia	8	True	False	True	0	1	1	1	1	0	0	1	0	0	1	1	1	dispersed_SSD	SSD	dispersed	Homeodomain	
C11orf95	after_R2	drerio	Actinopterygii	3	False	False	True	0	0	0	0	0	0	0	0	0	1	1	0	1	dispersed_SSD	SSD	dispersed	BED ZF	
CAMTA1	R1_to_R2	eburgeri	Cyclostomata	7	False	True	True	0	0	0	0	0	1	1	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	CG-1	
CAMTA2	R1_to_R2	eburgeri	Cyclostomata	5	False	True	True	0	0	0	0	0	1	0	0	1	1	1	0	1	dispersed_ohnolog	ohnolog	dispersed	CG-1	
CASZ1	before_R1	dmelanogaster	Protostomia	7	True	True	True	0	0	1	1	0	1	0	1	0	1	1	1	0	dispersed_SSD	SSD	dispersed	C2H2 ZF	
CBX2	before_R1	celegans	Protostomia	7	True	True	True	0	1	0	0	0	1	0	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	AT hook	
CCDC17	after_R2	mmusculus	Mammalia	1	False	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	dispersed_SSD	SSD	dispersed	C2H2 ZF	
CDC5L	before_R1	scerevisiae	Fungi	12	True	True	True	1	1	1	1	0	1	1	1	1	1	1	1	1	dispersed_SSD	SSD	dispersed	Myb/SANT	
CDX1	after_R2	mmusculus	Mammalia	1	False	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	dispersed_ohnolog	ohnolog	dispersed	Homeodomain	
CDX2	R1_to_R2	eburgeri	Cyclostomata	5	False	True	True	0	0	0	0	0	1	1	0	0	0	1	1	1	clustered_cis_ohnolog	ohnolog	clustered	Homeodomain	clust0043
CDX4	after_R2	ggallus	Aves	2	False	False	True	0	0	0	0	0	0	0	0	0	0	0	1	1	dispersed_ohnolog	ohnolog	dispersed	Homeodomain	
CEBPA	before_R1	celegans	Protostomia	10	True	True	True	0	1	1	0	0	1	1	1	1	1	1	1	1	clustered_cis_ohnolog	ohnolog	clustered	bZIP	clust0078
CEBPB	before_R1	celegans	Protostomia	8	True	True	True	0	1	1	1	0	1	0	0	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	bZIP	
CEBPD	before_R1	celegans	Protostomia	8	True	True	True	0	1	1	0	0	1	0	0	1	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	bZIP	
CEBPE	before_R1	celegans	Protostomia	7	True	False	True	0	1	1	1	0	0	0	0	1	1	1	0	1	dispersed_ohnolog	ohnolog	dispersed	bZIP	
CEBPG	before_R1	cintestinalis	Tunicata	3	True	False	True	0	0	0	1	0	0	0	0	0	0	0	1	1	clustered_cis_ohnolog	ohnolog	clustered	bZIP	clust0078
CENPB	before_R1	scerevisiae	Fungi	5	True	True	True	1	0	0	0	0	1	0	1	0	0	1	0	1	dispersed_SSD	SSD	dispersed	CENPB	
CHAMP1	after_R2	ggallus	Aves	2	False	False	True	0	0	0	0	0	0	0	0	0	0	0	1	1	dispersed_SSD	SSD	dispersed	C2H2 ZF	
CIC	before_R1	celegans	Protostomia	8	True	True	True	0	1	1	1	0	1	0	0	1	1	1	0	1	dispersed_SSD	SSD	dispersed	HMG/Sox	
CLOCK	before_R1	celegans	Protostomia	9	True	True	True	0	1	1	1	0	1	0	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	bHLH	
CPXCR1	after_R2	mmusculus	Mammalia	1	False	False	True	0	0	0	0	0	0	0	0	0	0	0	0	1	dispersed_SSD	SSD	dispersed	C2H2 ZF	
CREB1	before_R1	celegans	Protostomia	10	True	True	True	0	1	1	1	0	1	1	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	bZIP	
CREB3	before_R1	celegans	Protostomia	8	True	False	True	0	1	1	1	0	0	0	0	1	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	bZIP	
CREB3L1	before_R1	celegans	Protostomia	8	True	False	True	0	1	1	1	0	0	0	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	bZIP	
CREB3L2	before_R1	celegans	Protostomia	11	True	True	True	0	1	1	1	1	1	1	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	bZIP	
CREB3L3	before_R1	celegans	Protostomia	11	True	True	True	0	1	1	1	0	1	1	1	1	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	bZIP	
CREB3L4	before_R1	celegans	Protostomia	7	True	True	True	0	1	1	1	0	1	1	0	0	0	1	0	1	dispersed_ohnolog	ohnolog	dispersed	bZIP	
CREB5	before_R1	scerevisiae	Fungi	9	True	True	True	1	1	0	1	0	1	0	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	bZIP	
CREBL2	before_R1	dmelanogaster	Protostomia	8	True	True	True	0	0	1	0	0	1	0	1	1	1	1	1	1	dispersed_SSD	SSD	dispersed	bZIP	
CREBZF	R1_to_R2	eburgeri	Cyclostomata	5	False	True	True	0	0	0	0	0	1	0	0	0	1	1	1	1	dispersed_SSD	SSD	dispersed	bZIP	
CREM	before_R1	celegans	Protostomia	9	True	True	True	0	1	1	1	0	1	0	1	1	1	1	0	1	dispersed_ohnolog	ohnolog	dispersed	bZIP	
CRX	R1_to_R2	eburgeri	Cyclostomata	5	False	True	True	0	0	0	0	0	1	1	0	0	1	1	0	1	clustered_cis_ohnolog	ohnolog	clustered	Homeodomain	clust0048
CTCF	R1_to_R2	eburgeri	Cyclostomata	8	False	True	True	0	0	0	0	0	1	1	1	1	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	C2H2 ZF	
CTCFL	before_R1	dmelanogaster	Protostomia	4	True	False	True	0	0	1	1	0	0	0	0	0	1	0	0	1	dispersed_ohnolog	ohnolog	dispersed	C2H2 ZF	
CUX1	before_R1	scerevisiae	Fungi	11	True	True	True	1	1	1	0	0	1	1	1	1	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	CUT; Homeodomain	
CUX2	before_R1	scerevisiae	Fungi	9	True	False	True	1	1	1	0	0	0	0	1	1	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	CUT; Homeodomain	
CXXC1	before_R1	cintestinalis	Tunicata	5	True	True	True	0	0	0	1	0	1	0	0	0	1	1	0	1	dispersed_SSD	SSD	dispersed	CxxC	
CXXC4	R1_to_R2	eburgeri	Cyclostomata	6	False	True	True	0	0	0	0	0	1	0	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	CxxC	
CXXC5	R1_to_R2	eburgeri	Cyclostomata	5	False	True	True	0	0	0	0	0	1	0	1	0	1	0	1	1	dispersed_ohnolog	ohnolog	dispersed	CxxC	
DBP	before_R1	celegans	Protostomia	7	True	False	True	0	1	1	1	0	0	0	0	1	1	1	0	1	dispersed_ohnolog	ohnolog	dispersed	bZIP	
DBX1	before_R1	dmelanogaster	Protostomia	9	True	True	True	0	0	1	0	0	1	1	1	1	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	Homeodomain	
DBX2	before_R1	dmelanogaster	Protostomia	7	True	False	True	0	0	1	1	0	0	0	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	Homeodomain	
DDIT3	after_R2	drerio	Actinopterygii	3	False	False	True	0	0	0	0	0	0	0	0	0	1	1	0	1	dispersed_SSD	SSD	dispersed	bZIP	
DEAF1	before_R1	dmelanogaster	Protostomia	10	True	True	True	0	0	1	1	1	1	1	1	0	1	1	1	1	dispersed_SSD	SSD	dispersed	SAND	
DLX1	before_R1	celegans	Protostomia	8	True	True	True	0	1	1	1	0	1	0	0	0	1	1	1	1	clustered_cis_ohnolog	ohnolog	clustered	Homeodomain	clust0050
DLX2	before_R1	celegans	Protostomia	9	True	False	True	0	1	1	1	0	0	0	1	1	1	1	1	1	clustered_cis_ohnolog	ohnolog	clustered	Homeodomain	clust0050
DLX3	before_R1	celegans	Protostomia	9	True	False	True	0	1	1	1	0	0	0	1	1	1	1	1	1	clustered_cis_ohnolog	ohnolog	clustered	Homeodomain	clust0047
DLX4	before_R1	celegans	Protostomia	8	True	False	True	0	1	1	1	0	0	0	1	1	1	0	1	1	clustered_cis_ohnolog	ohnolog	clustered	Homeodomain	clust0047
DLX5	before_R1	celegans	Protostomia	11	True	True	True	0	1	1	1	0	1	1	1	1	1	1	1	1	clustered_cis_ohnolog	ohnolog	clustered	Homeodomain	clust0053
DLX6	before_R1	cintestinalis	Tunicata	9	True	True	True	0	0	0	1	0	1	1	1	1	1	1	1	1	clustered_cis_ohnolog	ohnolog	clustered	Homeodomain	clust0053
DMBX1	R1_to_R2	eburgeri	Cyclostomata	8	False	True	True	0	0	0	0	0	1	1	1	1	1	1	1	1	dispersed_SSD	SSD	dispersed	Homeodomain	
DMRT1	before_R1	celegans	Protostomia	6	True	True	True	0	1	0	0	0	1	0	1	0	1	1	0	1	clustered_SSD_tandem	SSD	clustered	DM	clust0029
DMRT2	before_R1	celegans	Protostomia	8	True	False	True	0	1	1	1	0	0	0	1	0	1	1	1	1	clustered_SSD_tandem	SSD	clustered	DM	clust0029
DMRT3	before_R1	celegans	Protostomia	8	True	True	True	0	1	0	0	0	1	0	1	1	1	1	1	1	clustered_SSD_tandem	SSD	clustered	DM	clust0029
DMRTA1	before_R1	celegans	Protostomia	4	True	False	True	0	1	0	0	0	0	0	1	0	0	1	0	1	dispersed_SSD	SSD	dispersed	DM	
DMRTA2	before_R1	celegans	Protostomia	8	True	True	True	0	1	0	0	0	1	1	1	0	1	1	1	1	dispersed_SSD	SSD	dispersed	DM	
DMRTB1	before_R1	celegans	Protostomia	4	True	False	True	0	1	0	0	0	0	0	0	0	0	1	1	1	dispersed_SSD	SSD	dispersed	DM	
DMRTC2	before_R1	celegans	Protostomia	2	True	False	True	0	1	0	0	0	0	0	0	0	0	0	0	1	dispersed_SSD	SSD	dispersed	DM	
DMTF1	before_R1	scerevisiae	Fungi	9	True	True	True	1	0	0	1	0	1	1	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	Myb/SANT	
DNMT1	before_R1	cintestinalis	Tunicata	8	True	True	True	0	0	0	1	0	1	1	1	0	1	1	1	1	dispersed_SSD	SSD	dispersed	CxxC	
DNTTIP1	before_R1	celegans	Protostomia	9	True	True	True	0	1	0	1	0	1	0	1	1	1	1	1	1	dispersed_SSD	SSD	dispersed	AT hook	
DOT1L	before_R1	scerevisiae	Fungi	11	True	True	True	1	1	1	1	0	1	0	1	1	1	1	1	1	dispersed_SSD	SSD	dispersed	AT hook	
DPF1	before_R1	scerevisiae	Fungi	10	True	True	True	1	1	1	1	0	1	0	1	1	1	1	0	1	dispersed_ohnolog	ohnolog	dispersed	C2H2 ZF	
DPF3	before_R1	scerevisiae	Fungi	8	True	False	True	1	1	1	0	0	0	0	0	1	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	C2H2 ZF	
DPRX	human_only			0	False	False	False	0	0	0	0	0	0	0	0	0	0	0	0	0	dispersed_SSD	SSD	dispersed	Homeodomain	
DRGX	R1_to_R2	eburgeri	Cyclostomata	6	False	True	True	0	0	0	0	0	1	0	1	0	1	1	1	1	dispersed_SSD	SSD	dispersed	Homeodomain	
DUX4	after_R2	drerio	Actinopterygii	3	False	False	True	0	0	0	0	0	0	0	0	0	1	1	0	1	dispersed_SSD	SSD	dispersed	Homeodomain	
DUXA	human_only			0	False	False	False	0	0	0	0	0	0	0	0	0	0	0	0	0	dispersed_SSD	SSD	dispersed	Homeodomain	
DZIP1	before_R1	cintestinalis	Tunicata	6	True	False	True	0	0	0	1	0	0	0	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	C2H2 ZF	
E2F1	before_R1	celegans	Protostomia	9	True	True	True	0	1	0	1	0	1	0	1	1	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	E2F	
E2F2	before_R1	celegans	Protostomia	8	True	True	True	0	1	1	1	0	1	0	1	1	0	0	1	1	dispersed_ohnolog	ohnolog	dispersed	E2F	
E2F3	R1_to_R2	eburgeri	Cyclostomata	8	False	True	True	0	0	0	0	0	1	1	1	1	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	E2F	
E2F4	before_R1	csavignyi	Tunicata	9	True	True	True	0	0	0	0	1	1	1	1	1	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	E2F	
E2F5	before_R1	celegans	Protostomia	8	True	True	True	0	1	0	1	0	1	0	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	E2F	
E2F6	before_R1	celegans	Protostomia	8	True	True	True	0	1	0	1	0	1	0	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	E2F	
E2F7	before_R1	celegans	Protostomia	9	True	True	True	0	1	0	1	0	1	1	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	E2F	
E2F8	R1_to_R2	eburgeri	Cyclostomata	6	False	True	True	0	0	0	0	0	1	0	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	E2F	
E4F1	R1_to_R2	eburgeri	Cyclostomata	6	False	True	True	0	0	0	0	0	1	0	1	0	1	1	1	1	dispersed_SSD	SSD	dispersed	C2H2 ZF	
EBF1	before_R1	celegans	Protostomia	9	True	True	True	0	1	1	1	0	0	1	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	EBF1	
EBF2	before_R1	celegans	Protostomia	10	True	True	True	0	1	1	0	1	1	1	0	1	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	EBF1	
EBF3	before_R1	celegans	Protostomia	10	True	True	True	0	1	1	1	0	1	0	1	1	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	EBF1	
EBF4	before_R1	celegans	Protostomia	9	True	False	True	0	1	1	1	0	0	0	1	1	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	EBF1	
EEA1	before_R1	celegans	Protostomia	11	True	True	True	0	1	1	1	0	1	1	1	1	1	1	1	1	dispersed_SSD	SSD	dispersed	C2H2 ZF	
EGR1	before_R1	scerevisiae	Fungi	6	True	False	True	1	1	0	0	0	0	0	1	0	0	1	1	1	dispersed_ohnolog	ohnolog	dispersed	C2H2 ZF	
EGR2	before_R1	scerevisiae	Fungi	6	True	False	True	1	0	0	0	0	0	0	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	C2H2 ZF	
EGR3	before_R1	scerevisiae	Fungi	7	True	True	True	1	0	0	0	0	1	0	1	0	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	C2H2 ZF	
EGR4	before_R1	scerevisiae	Fungi	9	True	True	True	1	1	0	1	0	1	1	0	0	1	1	1	1	dispersed_SSD	SSD	dispersed	C2H2 ZF	
EHF	R1_to_R2	eburgeri	Cyclostomata	7	False	True	True	0	0	0	0	0	1	1	1	0	1	1	1	1	clustered_cis_ohnolog	ohnolog	clustered	Ets	clust0031
ELF1	R1_to_R2	eburgeri	Cyclostomata	6	False	True	True	0	0	0	0	0	1	1	1	0	0	1	1	1	dispersed_ohnolog	ohnolog	dispersed	Ets	
ELF2	R1_to_R2	eburgeri	Cyclostomata	7	False	True	True	0	0	0	0	0	1	0	1	1	1	1	1	1	dispersed_ohnolog	ohnolog	dispersed	Ets	
