cluster_id	family	parent_DBD_family	chrom	n_members	members	member_strands	member_tss	member_starts	member_ends	cluster_start	cluster_end	span_bp	n_lncRNAs_between	lncRNAs_between
clust0014	C2H2 ZF (other)	C2H2 ZF	chr18	2	ZNF516,ZNF236	-,+	76495242,76822557	76357682,76822557	76495242,76972901	76357682	76972901	615219	7	ENSG00000278107,ENSG00000286090,LINC00683,LINC01879,LINC01927,ZNF236-DT,ZNF516-DT
clust0015	C2H2 ZF (other)	C2H2 ZF	chr19	2	ZNF788,ZNF625	+,-	12092468,12156734	12092468,12142090	12113048,12156734	12092468	12156734	64266	2	ENSG00000290812,ENSG00000293234
clust0016	C2H2 ZF (other)	C2H2 ZF	chr19	3	AKAP8,AKAP8L,WIZ	-,-,-	15379815,15419141,15449956	15353385,15380050,15419978	15379815,15419141,15449956	15353385	15449956	96571	1	ENSG00000268189
clust0017	C2H2 ZF (other)	C2H2 ZF	chr19	3	ZNF536,TSHZ3,ZNF507	+,-,+	30224891,31349436,32345594	30224891,31149979,32345594	30713586,31349436,32387667	30224891	32387667	2162776	16	ENSG00000261400,ENSG00000267081,ENSG00000267133,ENSG00000267378,ENSG00000267636,ENSG00000284430,ENSG00000286041,ENSG00000288790,LINC01533,LINC01782,LINC01834,LINC01837,LINC02841,LINC02959,THEG5,TSHZ3-AS1
clust0018	C2H2 ZF (other)	C2H2 ZF	chr19	2	ZNF576,ZNF428	+,-	43596392,43619629	43596392,43607224	43601157,43619629	43596392	43619629	23237	0	
clust0019	C2H2 ZF (other)	C2H2 ZF	chr19	6	ZNF579,FIZ1,ZNF865,ZNF784,ZNF580,ZNF581	-,-,+,-,+,+	55580848,55601970,55605647,55624566,55635016,55635459	55576774,55591376,55605647,55620741,55635016,55635459	55580848,55601970,55617269,55624566,55643470,55645623	55576774	55645623	68849	0	
clust0020	C2H2 ZF (other)	C2H2 ZF	chr19	2	ZNF497,ZNF837	-,-	58362848,58381030	58354357,58367618	58362848,58381030	58354357	58381030	26673	1	ZNF497-AS1
clust0021	C2H2 ZF (other)	C2H2 ZF	chr20	4	SALL4,ZFP64,TSHZ2,ZNF217	-,-,+,-	51802521,52204308,52972358,53609907	51782331,52051663,52972358,53567071	51802521,52204308,53495330,53609907	51782331	53609907	1827576	9	ENSG00000197670,ENSG00000225785,ENSG00000232286,ENSG00000232294,ENSG00000232465,ENSG00000259723,ENSG00000286250,LINC01429,LINC01524
clust0022	C2H2 ZF (other)	C2H2 ZF	chr22	2	ZNF280B,ZNF280A	-,-	22508742,22520270	22484421,22513736	22508742,22520270	22484421	22520270	35849	0	
clust0023	C2H2 ZF (other)	C2H2 ZF	chr3	4	ZNF660,ZNF35,ZNF502,ZNF501	+,+,+,+	44578223,44648732,44712643,44729596	44578223,44648732,44712643,44729596	44599694,44660791,44723831,44737083	44578223	44737083	158860	3	ENSG00000272077,ZKSCAN7-AS1,ZNF197-AS1
clust0024	C2H2 ZF (other)	C2H2 ZF	chr3	2	ZIC4,ZIC1	-,+	147406809,147393422	147386046,147393422	147406809,147510293	147386046	147510293	124247	0	
clust0025	C2H2 ZF (other)	C2H2 ZF	chr7	2	SP8,SP4	-,+	20786886,21428043	20782279,21428043	20786886,21514822	20782279	21514822	732543	3	ENSG00000285592,ENSG00000290069,LINC01162
clust0026	C2H2 ZF (other)	C2H2 ZF	chr7	2	ZNF107,ZNF138	+,+	64666099,64794388	64666099,64794388	64711577,64833681	64666099	64833681	167582	0	
clust0027	C2H2 ZF (other)	C2H2 ZF	chr7	2	REPIN1,ZNF775	+,+	150368189,150368790	150368189,150368790	150374044,150398630	150368189	150398630	30441	0	
clust0028	C2H2 ZF (other)	C2H2 ZF	chr8	4	ZFP41,AC138696.1,GLI4,ZNF696	+,+,+,+	143246821,143247110,143267433,143289676	143246821,143247110,143267433,143289676	143262705,143276403,143276931,143299952	143246821	143299952	53131	1	MINCR
clust0029	DM	DM	chr9	3	DMRT1,DMRT3,DMRT2	+,+,+	841690,976655,1049858	841690,976655,1049858	969090,991732,1057552	841690	1057552	215862	2	ENSG00000286684,LINC01230
clust0030	Ets	Ets	chr1	2	ETV3L,ETV3	-,-	157112412,157138474	157092043,157121191	157112412,157138474	157092043	157138474	46431	0	
clust0031	Ets	Ets	chr11	2	ELF5,EHF	-,+	34525193,34621093	34478791,34621093	34525193,34663288	34478791	34663288	184497	2	ENSG00000255271,LINC02707
clust0032	Ets	Ets	chr11	2	ETS1,FLI1	-,+	128587558,128686535	128458761,128686535	128587558,128813267	128458761	128813267	354506	2	ENSG00000245008,ENSG00000288975
clust0033	Ets	Ets	chr21	2	ERG,ETS2	-,+	38661780,38805183	38380027,38805183	38661780,38824955	38380027	38824955	444928	1	LINC00114
clust0034	Forkhead	Forkhead	chr1	2	FOXE3,FOXD2	+,+	47416285,47438044	47416285,47438044	47418052,47440691	47416285	47440691	24406	1	FOXD2-AS1
clust0035	Forkhead	Forkhead	chr16	2	FOXC2,FOXL1	+,+	86566829,86576368	86566829,86576368	86569728,86583478	86566829	86583478	16649	0	
clust0036	Forkhead	Forkhead	chr6	3	FOXQ1,FOXF2,FOXC1	+,+,+	1312098,1389576,1609915	1312098,1389576,1609915	1314758,1395603,1613897	1312098	1613897	301799	4	ENSG00000272279,FOXCUT,FOXF2-DT,LINC01394
clust0037	GTF2I-like	GTF2I-like	chr7	2	GTF2IRD1,GTF2I	+,+	74453790,74650231	74453790,74650231	74602605,74760692	74453790	74760692	306902	1	ENSG00000273069
clust0038	HSF	HSF	chrY	2	HSFY1,HSFY2	+,-	18546691,18773735	18546691,18731440	18588963,18773735	18546691	18773735	227044	2	TTTY9A,TTTY9B
clust0039	Homeodomain	Homeodomain	chr1	2	PBX1,LMX1A	+,-	164555584,165356715	164555584,165201867	164899296,165356715	164555584	165356715	801131	1	ENSG00000289408
clust0040	Homeodomain	Homeodomain	chr10	2	TLX1,LBX1	+,-	101131300,101229463	101131300,101226994	101137789,101229463	101131300	101229463	98163	1	LINC01514
clust0041	Homeodomain	Homeodomain	chr10	2	HMX3,HMX2	+,+	123135970,123148136	123135970,123148136	123139423,123150672	123135970	123150672	14702	0	
clust0042	Homeodomain	Homeodomain	chr12	2	NANOGNB,NANOG	+,+	7765216,7787794	7765216,7787794	7774121,7799146	7765216	7799146	33930	0	
clust0043	Homeodomain	Homeodomain	chr13	3	GSX1,PDX1,CDX2	+,+,-	27792483,27920000,27969315	27792483,27920000,27960918	27794768,27926313,27969315	27792483	27969315	176832	2	LINC00543,PLUT
clust0044	Homeodomain	Homeodomain	chr14	2	NKX2-1,NKX2-8	-,-	36521149,36582614	36516392,36580004	36521149,36582614	36516392	36582614	66222	2	ENSG00000283098,NKX2-1-AS1
clust0045	Homeodomain	Homeodomain	chr14	3	SIX6,SIX1,SIX4	+,-,-	60509146,60658259,60724351	60509146,60643421,60709539	60512850,60658259,60724351	60509146	60724351	215205	2	ENSG00000258670,SALRNA1
clust0046	Homeodomain	Homeodomain	chr16	3	IRX3,IRX5,IRX6	-,+,+	54286787,54930865,55324203	54283304,54930865,55324203	54286787,54934485,55330756	54283304	55330756	1047452	15	CRNDE,ENSG00000259283,ENSG00000259711,ENSG00000259725,ENSG00000277559,ENSG00000283258,ENSG00000283423,ENSG00000283689,ENSG00000285775,ENSG00000286357,ENSG00000286845,ENSG00000287885,ENSG00000289307,LINC02140,LINC02183
clust0047	Homeodomain	Homeodomain	chr17	2	DLX4,DLX3	+,-	49968588,49995224	49968588,49990005	49974959,49995224	49968588	49995224	26636	0	
clust0048	Homeodomain	Homeodomain	chr19	2	TPRX1,CRX	-,+	47819051,47819779	47801232,47819779	47819051,47843330	47801232	47843330	42098	0	
clust0049	Homeodomain	Homeodomain	chr2	2	SIX3,SIX2	+,-	44941702,45009452	44941702,45005182	44946071,45009452	44941702	45009452	67750	1	ENSG00000225156
clust0050	Homeodomain	Homeodomain	chr2	2	DLX1,DLX2	+,-	172084740,172102900	172084740,172099438	172089677,172102900	172084740	172102900	18160	1	ENSG00000289413
clust0051	Homeodomain	Homeodomain	chr20	2	NKX2-4,NKX2-2	-,-	21397526,21514064	21395365,21511017	21397526,21514064	21395365	21514064	118699	2	ENSG00000225280,ENSG00000278041
clust0052	Homeodomain	Homeodomain	chr5	3	IRX4,IRX2,IRX1	-,-,+	1887236,2751677,3595832	1877413,2745845,3595832	1887236,2751677,3601403	1877413	3601403	1723990	15	CTD-2194D22.4,ENSG00000248137,ENSG00000248597,ENSG00000248736,ENSG00000248994,ENSG00000249731,ENSG00000259757,ENSG00000288108,ENSG00000289075,IRX2-DT,LINC01017,LINC01019,LINC01377,LINC02162,LSINCT5
clust0053	Homeodomain	Homeodomain	chr7	2	DLX6,DLX5	+,-	97005553,97024950	97005553,97020396	97011040,97024950	97005553	97024950	19397	1	DLX6-AS1
clust0054	Homeodomain	Homeodomain	chr8	2	NKX3-1,NKX2-6	-,-	23682938,23706756	23678697,23701740	23682938,23706756	23678697	23706756	28059	0	
clust0055	Homeodomain	Homeodomain	chrX	3	RHOXF2B,RHOXF1,RHOXF2	-,-,+	120077690,120245267,120158613	120072264,120109051,120158613	120077690,120245267,120165630	120072264	120245267	173003	1	RHOXF1-AS1
clust0056	MADS box	MADS box	chr19	2	MEF2B,BORCS8-MEF2B	-,-	19192131,19192158	19145567,19145569	19192131,19192158	19145567	19192158	46591	0	
clust0057	Nuclear receptor	Nuclear receptor	chr17	2	THRA,NR1D1	+,-	40058290,40100589	40058290,40092793	40093867,40100589	40058290	40100589	42299	0	
clust0058	Nuclear receptor	Nuclear receptor	chr3	3	NR1D2,THRB,RARB	+,-,+	23945286,24495756,24687887	23945286,24117153,24687887	23980617,24495756,25597932	23945286	25597932	1652646	3	ENSG00000272554,LINC00691,THRB-AS1
clust0059	Nuclear receptor	Nuclear receptor	chr9	2	NR5A1,NR6A1	-,-	124507420,124771311	124481236,124517275	124507420,124771311	124481236	124771311	290075	1	ENSG00000231149
clust0060	SAND	SAND	chr2	4	SP110,SP140,SP140L,SP100	-,+,+,+	230225729,230203110,230327184,230415942	230165186,230203110,230327184,230415942	230225729,230313215,230403732,230545606	230165186	230545606	380420	0	
clust0061	SCAN-ZNF	C2H2 ZF	chr16	2	ZSCAN32,ZNF174	-,+	3401065,3401215	3382081,3401215	3401065,3409364	3382081	3409364	27283	0	
clust0062	SCAN-ZNF	C2H2 ZF	chr18	4	ZNF397,ZSCAN30,ZNF24,ZNF396	+,-,-,-	35241030,35290245,35345482,35377337	35241030,35251058,35332227,35366694	35267133,35290245,35345482,35377337	35241030	35377337	136307	2	ENSG00000274918,ZNF271P
clust0063	SCAN-ZNF	C2H2 ZF	chr19	3	ZSCAN5B,ZSCAN5C,ZSCAN5A	-,+,-	56197815,56202273,56368383	56189686,56202273,56219670	56197815,56209461,56368383	56189686	56368383	178697	0	
clust0064	SCAN-ZNF	C2H2 ZF	chr19	2	ZSCAN1,ZSCAN18	+,-	58034025,58118427	58034025,58083838	58054631,58118427	58034025	58118427	84402	1	ENSG00000288830
clust0065	SCAN-ZNF	C2H2 ZF	chr6	2	ZNF165,ZSCAN16	+,+	28080568,28107689	28080568,28107689	28089563,28130082	28080568	28130082	49514	2	ENSG00000291008,ZSCAN16-AS1
clust0066	SCAN-ZNF	C2H2 ZF	chr6	3	ZSCAN31,ZSCAN12,ZSCAN23	-,-,-	28356271,28399747,28443502	28324693,28378955,28431930	28356271,28399747,28443502	28324693	28443502	118809	0	
clust0067	STAT	STAT	chr17	3	STAT5B,STAT5A,STAT3	-,+,-	42288633,42287547,42388568	42199176,42287547,42313324	42288633,42311943,42388568	42199176	42388568	189392	0	
clust0068	STAT	STAT	chr2	2	STAT1,STAT4	-,-	191020960,191151596	190908460,191029576	191020960,191151596	190908460	191151596	243136	1	STAT4-AS1
clust0069	T-box	T-box	chr12	2	TBX5,TBX3	-,-	114408442,114684175	114353911,114670255	114408442,114684175	114353911	114684175	330264	3	ENSG00000258254,ENSG00000289101,TBX5-AS1
clust0070	T-box	T-box	chr17	2	TBX2,TBX4	+,+	61399843,61452404	61399843,61452404	61409466,61485110	61399843	61485110	85267	2	LINC02875,TBX2-AS1
clust0071	bHLH	bHLH	chr12	2	MYF6,MYF5	+,+	80707634,80716912	80707634,80716912	80709474,80719671	80707634	80719671	12037	0	
clust0072	bHLH	bHLH	chr13	2	SOHLH2,CCDC169-SOHLH2	-,-	36214588,36297842	36168217,36168794	36214588,36297842	36168217	36297842	129625	0	
clust0073	bHLH	bHLH	chr15	2	MESP1,MESP2	-,+	89751249,89760591	89749875,89760591	89751249,89778754	89749875	89778754	28879	0	
clust0074	bHLH	bHLH	chr21	2	OLIG2,OLIG1	+,+	33025935,33070141	33025935,33070141	33029196,33072413	33025935	33072413	46478	2	ENSG00000227757,LINC00945
clust0075	bHLH	bHLH	chr7	2	TWIST1,FERD3L	-,-	19117636,19145421	19020991,19144782	19117636,19145421	19020991	19145421	124430	2	ENSG00000229533,ENSG00000236536
clust0076	bZIP	bZIP	chr12	2	AC023509.3,ATF7	-,-	53625979,53626410	53506691,53507856	53625979,53626410	53506691	53626410	119719	0	
clust0077	bZIP	bZIP	chr14	3	FOS,JDP2,BATF	+,+,+	75278826,75427716,75522455	75278826,75427716,75522455	75282230,75474111,75546993	75278826	75546993	268167	4	ENSG00000289844,ENSG00000289918,JDP2-AS1,LINC01220
clust0078	bZIP	bZIP	chr19	2	CEBPA,CEBPG	-,+	33302534,33373685	33299934,33373685	33302534,33382686	33299934	33382686	82752	2	CEBPA-DT,ENSG00000267130
