cluster_id	dup_class4	family	chrom	geneA	geneB	strandA	strandB	tssA	tssB	orientation	promoter_distance_bp	n_ctcf_between_promoters	ctcf_between_per_kb
clust0078	clustered_cis_ohnolog	bZIP	chr19	CEBPA	CEBPG	-	+	33302534	33373685	head-to-head	71151	1	0.01405
clust0002	clustered_cis_ohnolog	BTB-ZNF	chr1	ZBTB8B	ZBTB8A	+	+	32465072	32539427	tandem	74355	1	0.01345
clust0031	clustered_cis_ohnolog	Ets	chr11	ELF5	EHF	-	+	34525193	34621093	head-to-head	95900	2	0.02086
clust0040	clustered_cis_ohnolog	Homeodomain	chr10	TLX1	LBX1	+	-	101131300	101229463	tail-to-tail	98163	4	0.04075
clust0032	clustered_cis_ohnolog	Ets	chr11	ETS1	FLI1	-	+	128587558	128686535	head-to-head	98977	3	0.03031
clust0001	clustered_cis_ohnolog	AP-2	chr6	TFAP2D	TFAP2B	+	+	50713526	50818723	tandem	105197	3	0.02852
clust0051	clustered_cis_ohnolog	Homeodomain	chr20	NKX2-4	NKX2-2	-	-	21397526	21514064	tandem	116538	2	0.01716
clust0068	clustered_cis_ohnolog	STAT	chr2	STAT1	STAT4	-	-	191020960	191151596	tandem	130636	2	0.01531
clust0033	clustered_cis_ohnolog	Ets	chr21	ERG	ETS2	-	+	38661780	38805183	head-to-head	143403	5	0.03487
clust0059	clustered_cis_ohnolog	Nuclear receptor	chr9	NR5A1	NR6A1	-	-	124507420	124771311	tandem	263891	8	0.03032
clust0069	clustered_cis_ohnolog	T-box	chr12	TBX5	TBX3	-	-	114408442	114684175	tandem	275733	4	0.01451
clust0025	clustered_cis_ohnolog	C2H2 ZF (other)	chr7	SP8	SP4	-	+	20786886	21428043	head-to-head	641157	7	0.01092
clust0039	clustered_cis_ohnolog	Homeodomain	chr1	PBX1	LMX1A	+	-	164555584	165356715	tail-to-tail	801131	10	0.01248
clust0008	clustered_cis_ohnolog	C2H2 ZF (other)	chr13	KLF5	KLF12	+	-	73054976	74134404	tail-to-tail	1079428	9	0.00834
