cluster_id	dup_class4	family	chrom	n_members	members	span_bp	win_len_bp	clipped	n_peaks_window	n_peaks_body	n_peaks_flank	peaks_per_kb_window	peaks_per_kb_body	peaks_per_kb_flank	obs_exp_window	nearest_peak_to_tss_min	nearest_peak_to_tss_mean	n_peaks_between_members	inter_member_tss_dist_bp	peaks_between_per_kb
clust0016	clustered_SSD_tandem	C2H2 ZF (other)	chr19	3	AKAP8,AKAP8L,WIZ	96571	296571	none	5	1	4	0.01686	0.01036	0.02	1.1557	168	17990.7	1	70141	0.01426
clust0018	clustered_SSD_tandem	C2H2 ZF (other)	chr19	2	ZNF576,ZNF428	23237	223237	none	10	1	9	0.0448	0.04303	0.045	3.0707	1537	3512.5	1	23237	0.04303
clust0019	clustered_SSD_tandem	C2H2 ZF (other)	chr19	6	ZNF579,FIZ1,ZNF865,ZNF784,ZNF580,ZNF581	68849	268849	none	12	4	8	0.04463	0.0581	0.04	3.0597	739	7217.0	3	54611	0.05493
clust0063	clustered_SSD_tandem	SCAN-ZNF	chr19	3	ZSCAN5B,ZSCAN5C,ZSCAN5A	178697	378697	none	12	6	6	0.03169	0.03358	0.03	2.1722	17743	24563.0	6	170568	0.03518
clust0064	clustered_SSD_tandem	SCAN-ZNF	chr19	2	ZSCAN1,ZSCAN18	84402	284402	none	3	0	3	0.01055	0.0	0.015	0.7231	36818	61484.0	0	84402	0.0
clust0020	clustered_SSD_tandem	C2H2 ZF (other)	chr19	2	ZNF497,ZNF837	26673	226673	none	6	2	4	0.02647	0.07498	0.02	1.8145	119	3551.0	1	18182	0.055
clust0060	clustered_SSD_tandem	SAND	chr2	4	SP110,SP140,SP140L,SP100	380420	580420	none	8	1	7	0.01378	0.00263	0.035	0.9448	66	80132.0	0	212832	0.0
clust0074	clustered_SSD_tandem	bHLH	chr21	2	OLIG2,OLIG1	46478	246478	none	5	0	5	0.02029	0.0	0.025	1.3906	8929	20174.5	0	44206	0.0
clust0065	clustered_SSD_tandem	SCAN-ZNF	chr6	2	ZNF165,ZSCAN16	49514	249514	none	4	2	2	0.01603	0.04039	0.01	1.0989	2907	13560.5	1	27121	0.03687
clust0066	clustered_SSD_tandem	SCAN-ZNF	chr6	3	ZSCAN31,ZSCAN12,ZSCAN23	118809	318809	none	7	5	2	0.02196	0.04208	0.01	1.5051	0	14571.7	4	87231	0.04586
clust0075	clustered_SSD_tandem	bHLH	chr7	2	TWIST1,FERD3L	124430	324430	none	2	2	0	0.00616	0.01607	0.0	0.4226	4540	13892.5	1	27785	0.03599
clust0026	clustered_SSD_tandem	C2H2 ZF (other)	chr7	2	ZNF107,ZNF138	167582	367582	none	4	0	4	0.01088	0.0	0.02	0.7459	35498	64676.0	0	128289	0.0
clust0037	clustered_SSD_tandem	GTF2I-like	chr7	2	GTF2IRD1,GTF2I	306902	506902	none	10	4	6	0.01973	0.01303	0.03	1.3523	3690	5068.0	2	196441	0.01018
clust0027	clustered_SSD_tandem	C2H2 ZF (other)	chr7	2	REPIN1,ZNF775	30441	230441	none	9	1	8	0.03906	0.03285	0.04	2.6772	9567	9867.5	0	601	0.0
clust0029	clustered_SSD_tandem	DM	chr9	3	DMRT1,DMRT3,DMRT2	215862	415862	none	13	9	4	0.03126	0.04169	0.02	2.1429	2242	19851.3	8	208168	0.03843
clust0004	clustered_SSD_tandem	BTB-ZNF	chr9	2	ZBTB6,ZBTB26	23456	223456	none	5	1	4	0.02238	0.04263	0.02	1.5338	374	9468.5	0	18189	0.0
clust0005	clustered_SSD_tandem	BTB-ZNF	chr9	2	ZBTB43,ZBTB34	80872	280872	none	11	2	9	0.03916	0.02473	0.045	2.6846	252	606.0	2	55633	0.03595
clust0055	clustered_SSD_tandem	Homeodomain	chrX	3	RHOXF2B,RHOXF1,RHOXF2	173003	373003	none	8	2	6	0.02145	0.01156	0.03	1.4702	5516	24504.3	2	167577	0.01193
clust0002	clustered_cis_ohnolog	BTB-ZNF	chr1	2	ZBTB8B,ZBTB8A	140869	340869	none	9	1	8	0.0264	0.0071	0.04	1.8099	15758	17292.0	1	74355	0.01345
clust0034	clustered_cis_ohnolog	Forkhead	chr1	2	FOXE3,FOXD2	24406	224406	none	11	4	7	0.04902	0.16389	0.035	3.3602	89	4185.5	4	21759	0.18383
clust0030	clustered_cis_ohnolog	Ets	chr1	2	ETV3L,ETV3	46431	246431	none	7	1	6	0.02841	0.02154	0.03	1.9472	2145	12121.0	1	26062	0.03837
clust0039	clustered_cis_ohnolog	Homeodomain	chr1	2	PBX1,LMX1A	801131	1001131	none	15	10	5	0.01498	0.01248	0.025	1.0271	10854	36654.5	10	801131	0.01248
clust0040	clustered_cis_ohnolog	Homeodomain	chr10	2	TLX1,LBX1	98163	298163	none	17	4	13	0.05702	0.04075	0.065	3.9084	9468	10298.5	4	98163	0.04075
clust0041	clustered_cis_ohnolog	Homeodomain	chr10	2	HMX3,HMX2	14702	214702	none	4	2	2	0.01863	0.13604	0.01	1.2771	2818	2963.5	2	12166	0.16439
clust0031	clustered_cis_ohnolog	Ets	chr11	2	ELF5,EHF	184497	384497	none	6	5	1	0.0156	0.0271	0.005	1.0697	12157	23421.0	2	95900	0.02086
clust0032	clustered_cis_ohnolog	Ets	chr11	2	ETS1,FLI1	354506	554506	none	20	14	6	0.03607	0.03949	0.03	2.4724	5432	11039.0	3	98977	0.03031
clust0007	clustered_cis_ohnolog	C2H2 ZF (other)	chr12	2	SP7,SP1	89871	289871	none	17	4	13	0.05865	0.04451	0.065	4.0202	84	979.0	2	34861	0.05737
clust0076	clustered_cis_ohnolog	bZIP	chr12	2	AC023509.3,ATF7	119719	319719	none	10	4	6	0.03128	0.03341	0.03	2.144	49823	50038.5	0	431	0.0
clust0071	clustered_cis_ohnolog	bHLH	chr12	2	MYF6,MYF5	12037	212037	none	3	1	2	0.01415	0.08308	0.01	0.9699	2983	4639.0	1	9278	0.10778
clust0069	clustered_cis_ohnolog	T-box	chr12	2	TBX5,TBX3	330264	530264	none	4	4	0	0.00754	0.01211	0.0	0.5171	15909	58091.5	4	275733	0.01451
clust0043	clustered_cis_ohnolog	Homeodomain	chr13	3	GSX1,PDX1,CDX2	176832	376832	none	11	5	6	0.02919	0.02828	0.03	2.001	8869	17364.3	5	176832	0.02828
clust0008	clustered_cis_ohnolog	C2H2 ZF (other)	chr13	2	KLF5,KLF12	1079428	1279428	none	9	9	0	0.00703	0.00834	0.0	0.4822	4679	49334.0	9	1079428	0.00834
clust0009	clustered_cis_ohnolog	C2H2 ZF (other)	chr13	2	ZIC5,ZIC2	23801	223801	none	2	0	2	0.00894	0.0	0.01	0.6126	55093	60101.5	0	10017	0.0
clust0044	clustered_cis_ohnolog	Homeodomain	chr14	2	NKX2-1,NKX2-8	66222	266222	none	6	3	3	0.02254	0.0453	0.015	1.5449	4538	13518.0	3	61465	0.04881
clust0045	clustered_cis_ohnolog	Homeodomain	chr14	3	SIX6,SIX1,SIX4	215205	415205	none	6	5	1	0.01445	0.02323	0.005	0.9906	888	8074.7	5	215205	0.02323
clust0077	clustered_cis_ohnolog	bZIP	chr14	3	FOS,JDP2,BATF	268167	468167	none	12	8	4	0.02563	0.02983	0.02	1.757	3547	15794.0	8	243629	0.03284
clust0046	clustered_cis_ohnolog	Homeodomain	chr16	3	IRX3,IRX5,IRX6	1047452	1247452	none	8	5	3	0.00641	0.00477	0.015	0.4396	4241	18539.0	5	1037416	0.00482
clust0012	clustered_cis_ohnolog	C2H2 ZF (other)	chr16	2	ZNF469,ZFPM1	154072	354072	none	16	8	8	0.04519	0.05192	0.04	3.0976	969	1588.0	3	70321	0.04266
clust0057	clustered_cis_ohnolog	Nuclear receptor	chr17	2	THRA,NR1D1	42299	242299	none	19	4	15	0.07842	0.09456	0.075	5.3753	4571	6827.5	4	42299	0.09456
clust0067	clustered_cis_ohnolog	STAT	chr17	3	STAT5B,STAT5A,STAT3	189392	389392	none	17	4	13	0.04366	0.02112	0.065	2.9927	361	16317.0	2	101021	0.0198
clust0013	clustered_cis_ohnolog	C2H2 ZF (other)	chr17	2	SP6,SP2	84049	284049	none	18	2	16	0.06337	0.0238	0.08	4.3439	6041	7204.5	1	40276	0.02483
clust0047	clustered_cis_ohnolog	Homeodomain	chr17	2	DLX4,DLX3	26636	226636	none	9	0	9	0.03971	0.0	0.045	2.7222	1533	8732.0	0	26636	0.0
clust0070	clustered_cis_ohnolog	T-box	chr17	2	TBX2,TBX4	85267	285267	none	10	4	6	0.03505	0.04691	0.03	2.403	6043	20706.5	4	52561	0.0761
clust0056	clustered_cis_ohnolog	MADS box	chr19	2	MEF2B,BORCS8-MEF2B	46591	246591	none	9	3	6	0.0365	0.06439	0.03	2.5019	6022	6035.5	0	27	0.0
clust0017	clustered_cis_ohnolog	C2H2 ZF (other)	chr19	3	ZNF536,TSHZ3,ZNF507	2162776	2362776	none	18	17	1	0.00762	0.00786	0.005	0.5222	250	183888.0	16	2120703	0.00754
clust0078	clustered_cis_ohnolog	bZIP	chr19	2	CEBPA,CEBPG	82752	282752	none	11	2	9	0.0389	0.02417	0.045	2.6668	0	244.5	1	71151	0.01405
clust0048	clustered_cis_ohnolog	Homeodomain	chr19	2	TPRX1,CRX	42098	242098	none	9	1	8	0.03718	0.02375	0.04	2.5483	5176	5540.0	0	728	0.0
clust0049	clustered_cis_ohnolog	Homeodomain	chr2	2	SIX3,SIX2	67750	267750	none	5	4	1	0.01867	0.05904	0.005	1.2801	4799	7729.0	4	67750	0.05904
clust0050	clustered_cis_ohnolog	Homeodomain	chr2	2	DLX1,DLX2	18160	218160	none	6	1	5	0.0275	0.05507	0.025	1.8853	1129	1600.5	1	18160	0.05507
clust0068	clustered_cis_ohnolog	STAT	chr2	2	STAT1,STAT4	243136	443136	none	11	4	7	0.02482	0.01645	0.035	1.7016	4218	6990.5	2	130636	0.01531
clust0051	clustered_cis_ohnolog	Homeodomain	chr20	2	NKX2-4,NKX2-2	118699	318699	none	6	2	4	0.01883	0.01685	0.02	1.2905	7600	50900.5	2	116538	0.01716
clust0021	clustered_cis_ohnolog	C2H2 ZF (other)	chr20	4	SALL4,ZFP64,TSHZ2,ZNF217	1827576	2027576	none	30	27	3	0.0148	0.01477	0.015	1.0143	1317	18749.8	26	1807386	0.01439
clust0033	clustered_cis_ohnolog	Ets	chr21	2	ERG,ETS2	444928	644928	none	10	6	4	0.01551	0.01349	0.02	1.0629	0	3805.5	5	143403	0.03487
clust0022	clustered_cis_ohnolog	C2H2 ZF (other)	chr22	2	ZNF280B,ZNF280A	35849	235849	none	10	1	9	0.0424	0.02789	0.045	2.9065	137	5764.0	1	11528	0.08675
clust0058	clustered_cis_ohnolog	Nuclear receptor	chr3	3	NR1D2,THRB,RARB	1652646	1852646	none	24	18	6	0.01295	0.01089	0.03	0.888	0	1640.0	11	742601	0.01481
clust0023	clustered_cis_ohnolog	C2H2 ZF (other)	chr3	4	ZNF660,ZNF35,ZNF502,ZNF501	158860	358860	none	6	2	4	0.01672	0.01259	0.02	1.1461	12677	29182.8	2	151373	0.01321
clust0024	clustered_cis_ohnolog	C2H2 ZF (other)	chr3	2	ZIC4,ZIC1	124247	324247	none	3	0	3	0.00925	0.0	0.015	0.6342	8471	15164.5	0	13387	0.0
clust0052	clustered_cis_ohnolog	Homeodomain	chr5	3	IRX4,IRX2,IRX1	1723990	1923990	none	6	4	2	0.00312	0.00232	0.01	0.2138	9418	571378.3	4	1708596	0.00234
clust0036	clustered_cis_ohnolog	Forkhead	chr6	3	FOXQ1,FOXF2,FOXC1	301799	501799	none	13	13	0	0.02591	0.04308	0.0	1.7759	1594	11175.3	12	297817	0.04029
clust0001	clustered_cis_ohnolog	AP-2	chr6	2	TFAP2D,TFAP2B	134093	334093	none	4	3	1	0.01197	0.02237	0.005	0.8207	2448	29972.5	3	105197	0.02852
clust0025	clustered_cis_ohnolog	C2H2 ZF (other)	chr7	2	SP8,SP4	732543	932543	none	11	8	3	0.0118	0.01092	0.015	0.8086	847	4777.0	7	641157	0.01092
clust0053	clustered_cis_ohnolog	Homeodomain	chr7	2	DLX6,DLX5	19397	219397	none	4	0	4	0.01823	0.0	0.02	1.2498	2894	12592.5	0	19397	0.0
clust0054	clustered_cis_ohnolog	Homeodomain	chr8	2	NKX3-1,NKX2-6	28059	228059	none	5	1	4	0.02192	0.03564	0.02	1.5029	9882	11909.0	1	23818	0.04199
clust0028	clustered_cis_ohnolog	C2H2 ZF (other)	chr8	4	ZFP41,AC138696.1,GLI4,ZNF696	53131	253131	none	10	3	7	0.03951	0.05646	0.035	2.7081	4863	11212.0	3	42855	0.07
clust0059	clustered_cis_ohnolog	Nuclear receptor	chr9	2	NR5A1,NR6A1	290075	490075	none	23	8	15	0.04693	0.02758	0.075	3.2171	874	13783.0	8	263891	0.03032
