gene	paralog	node
ETV1	ETV3	Bilateria
ETV1	ETV5	Bilateria
ETV1	ELF1	Bilateria
ETV1	FLI1	Bilateria
ETV1	SPDEF	Bilateria
ETV1	FEV	Bilateria
ETV1	ETV6	Bilateria
ETV1	SPIB	Bilateria
ETV1	ELF4	Bilateria
ETV1	EHF	Bilateria
ETV1	ELF2	Bilateria
ETV1	ETV3L	Bilateria
ETV1	ERG	Bilateria
ETV1	ETS2	Bilateria
ETV1	ELK1	Bilateria
ETV1	ELK4	Bilateria
ETV1	SPI1	Bilateria
ETV1	ETS1	Bilateria
ETV1	ETV2	Bilateria
ETV1	ERF	Bilateria
ETV1	ELF5	Bilateria
GTF2IRD1	ZMYM3	Bilateria
GTF2IRD1	SCAND3	Bilateria
GTF2IRD1	KIAA1958	Bilateria
GTF2IRD1	FAM200C	Bilateria
GTF2IRD1	GTF2I	Bilateria
GTF2IRD1	GTF2IRD2	Bilateria
GTF2IRD1	GTF2IRD2B	Bilateria
GTF2IRD1	ZMYM2	Bilateria
GTF2IRD1	ZBED5	Bilateria
GTF2IRD1	ZMYM1	Bilateria
GTF2IRD1	EPM2AIP1	Bilateria
GTF2IRD1	QRICH1	Bilateria
GTF2IRD1	FAM200B	Bilateria
GTF2IRD1	THAP12	Bilateria
GTF2IRD1	ZMYM6	Bilateria
GTF2IRD1	ZMYM4	Bilateria
GTF2IRD1	FAM200A	Bilateria
GTF2IRD1	ZMYM5	Bilateria
PAX6	PAX2	Bilateria
PAX6	UNCX	Bilateria
PAX6	RAX2	Bilateria
PAX6	DUXB	Bilateria
PAX6	RHOXF1	Bilateria
PAX6	PRRX1	Bilateria
PAX6	PAX1	Bilateria
PAX6	PAX9	Bilateria
PAX6	PAX4	Bilateria
PAX6	VSX2	Bilateria
PAX6	EVX1	Bilateria
PAX6	ESX1	Bilateria
PAX6	PRRX2	Bilateria
PAX6	OTP	Bilateria
PAX6	MIXL1	Bilateria
PAX6	PROP1	Bilateria
PAX6	HESX1	Bilateria
PAX6	DMBX1	Bilateria
PAX6	SHOX	Bilateria
PAX6	SHOX2	Bilateria
PAX6	PITX1	Bilateria
PAX6	DPRX	Bilateria
PAX6	ARX	Bilateria
PAX6	PAX8	Bilateria
PAX6	GSC2	Bilateria
PAX6	ALX1	Bilateria
PAX6	DRGX	Bilateria
PAX6	PAX7	Bilateria
PAX6	OTX2	Bilateria
PAX6	DUX4L9	Bilateria
PAX6	DUX4	Bilateria
PAX6	PHOX2A	Bilateria
PAX6	ISX	Bilateria
PAX6	RAX	Bilateria
PAX6	PAX5	Bilateria
PAX6	NOBOX	Bilateria
PAX6	CRX	Bilateria
PAX6	PITX2	Bilateria
PAX6	DUXA	Bilateria
PAX6	ARGFX	Bilateria
PAX6	PAX3	Bilateria
PAX6	RHOXF2	Bilateria
PAX6	RHOXF2B	Bilateria
PAX6	GSC	Bilateria
PAX6	EVX2	Bilateria
PAX6	OTX1	Bilateria
PAX6	PITX3	Bilateria
PAX6	ALX3	Bilateria
PAX6	PHOX2B	Bilateria
PAX6	SEBOX	Bilateria
PAX6	ALX4	Bilateria
TEAD3	TEAD2	Bilateria
TEAD3	TEAD1	Bilateria
TEAD3	TEAD4	Bilateria
E2F2	E2F5	Bilateria
E2F2	E2F6	Bilateria
E2F2	E2F7	Bilateria
E2F2	E2F1	Bilateria
E2F2	E2F3	Bilateria
E2F2	E2F8	Bilateria
E2F2	E2F4	Bilateria
TFAP2B	TFAP2E	Gnathostomata
TFAP2B	TFAP2A	Gnathostomata
TFAP2B	TFAP2C	Gnathostomata
TFAP2B	TFAP2D	Vertebrata
TFAP2D	TFAP2A	Vertebrata
TFAP2D	TFAP2B	Vertebrata
TFAP2D	TFAP2C	Vertebrata
TFAP2D	TFAP2E	Vertebrata
NFIX	NFIA	Vertebrata
NFIX	NFIB	Chordata
NFIX	NFIC	Chordata
PAX7	PAX2	Bilateria
PAX7	UNCX	Bilateria
PAX7	RAX2	Bilateria
PAX7	DUXB	Bilateria
PAX7	RHOXF1	Bilateria
PAX7	PRRX1	Bilateria
PAX7	PAX1	Bilateria
PAX7	PAX9	Bilateria
PAX7	PAX4	Bilateria
PAX7	VSX2	Bilateria
PAX7	PAX6	Bilateria
PAX7	EVX1	Bilateria
PAX7	ESX1	Bilateria
PAX7	PRRX2	Bilateria
PAX7	OTP	Bilateria
PAX7	MIXL1	Bilateria
PAX7	PROP1	Bilateria
PAX7	HESX1	Bilateria
PAX7	DMBX1	Bilateria
PAX7	SHOX	Bilateria
PAX7	SHOX2	Bilateria
PAX7	PITX1	Bilateria
PAX7	DPRX	Bilateria
PAX7	ARX	Bilateria
PAX7	PAX8	Bilateria
PAX7	GSC2	Bilateria
PAX7	ALX1	Bilateria
PAX7	DRGX	Bilateria
PAX7	OTX2	Bilateria
PAX7	DUX4L9	Bilateria
PAX7	DUX4	Bilateria
PAX7	PHOX2A	Bilateria
PAX7	ISX	Bilateria
PAX7	RAX	Bilateria
PAX7	PAX5	Bilateria
PAX7	NOBOX	Bilateria
PAX7	CRX	Bilateria
PAX7	PITX2	Bilateria
PAX7	DUXA	Bilateria
PAX7	ARGFX	Bilateria
PAX7	PAX3	Bilateria
PAX7	RHOXF2	Bilateria
PAX7	RHOXF2B	Bilateria
PAX7	GSC	Bilateria
PAX7	EVX2	Bilateria
PAX7	OTX1	Bilateria
PAX7	PITX3	Bilateria
PAX7	ALX3	Bilateria
PAX7	PHOX2B	Bilateria
PAX7	SEBOX	Bilateria
PAX7	ALX4	Bilateria
MLXIPL	MLX	Bilateria
MLXIPL	TFAP4	Bilateria
MLXIPL	MLXIP	Bilateria
ETV7	ELF3	Bilateria
ETV7	ERFL	Bilateria
ETV7	SPIC	Bilateria
ETV7	ETV4	Bilateria
ETV7	GABPA	Bilateria
ETV7	ELK3	Bilateria
ETV7	ETV3	Bilateria
ETV7	ETV5	Bilateria
ETV7	ELF1	Bilateria
ETV7	FLI1	Bilateria
ETV7	SPDEF	Bilateria
ETV7	FEV	Bilateria
ETV7	ETV6	Bilateria
ETV7	SPIB	Bilateria
ETV7	ELF4	Bilateria
ETV7	EHF	Bilateria
ETV7	ELF2	Bilateria
ETV7	ETV3L	Bilateria
ETV7	ERG	Bilateria
ETV7	ETS2	Bilateria
ETV7	ELK1	Bilateria
ETV7	ELK4	Bilateria
ETV7	ETV1	Bilateria
ETV7	SPI1	Bilateria
ETV7	ETS1	Bilateria
ETV7	ETV2	Bilateria
ETV7	ERF	Bilateria
ETV7	ELF5	Bilateria
ZNF207		
ZNF200	ZNF532	Bilateria
ZNF200	KRABD1	Bilateria
HIVEP2	SALL1	Bilateria
HIVEP2	RREB1	Bilateria
HIVEP2	ZNF516	Bilateria
HIVEP2	BCL11B	Bilateria
HIVEP2	HIVEP1	Bilateria
HIVEP2	ZNF831	Bilateria
HIVEP2	SALL4	Bilateria
HIVEP2	HIVEP3	Bilateria
HIVEP2	SALL2	Bilateria
HIVEP2	ZNF219	Bilateria
HIVEP2	SALL3	Bilateria
HIVEP2	BCL11A	Bilateria
HIVEP2	ZNF217	Bilateria
HIVEP2	ZNF536	Bilateria
AKAP8L	AKAP8	Gnathostomata
AKAP8L	ZNF326	Gnathostomata
DPF1	KAT5	Opisthokonta
DPF1	DPF2	Opisthokonta
DPF1	KAT6A	Opisthokonta
DPF1	KAT7	Opisthokonta
DPF1	DPF3	Opisthokonta
DPF1	KAT8	Opisthokonta
DPF1	RSF1	Opisthokonta
DPF1	KAT6B	Opisthokonta
DPF1	PHF10	Opisthokonta
WIZ	ZNF572	Bilateria
WIZ	ZNF214	Bilateria
WIZ	ZNF507	Bilateria
WIZ	ZNF670	Bilateria
WIZ	ZNF223	Bilateria
WIZ	ZNF222	Bilateria
WIZ	ZNF398	Bilateria
WIZ	ZNF416	Bilateria
WIZ	ZKSCAN7	Bilateria
WIZ	ZNF233	Bilateria
WIZ	ZNF592	Bilateria
WIZ	ZNF774	Bilateria
WIZ	GZF1	Bilateria
WIZ	ZNF333	Bilateria
WIZ	ZNF776	Bilateria
WIZ	PRDM4	Bilateria
WIZ	ZNF784	Bilateria
WIZ	ZNF644	Bilateria
WIZ	ZNF287	Bilateria
WIZ	ZNF646	Bilateria
WIZ		Bilateria
WIZ	ZNF777	Bilateria
WIZ	ZBTB17	Bilateria
WIZ	ZNF17	Bilateria
WIZ	ZNF746	Bilateria
WIZ	ZNF627	Bilateria
WIZ	ZNF697	Bilateria
WIZ	ZFP57	Bilateria
WIZ	ZNF547	Bilateria
WIZ	ZNF136	Bilateria
WIZ	ZNF530	Bilateria
WIZ	ZNF34	Bilateria
WIZ	ZNF625	Bilateria
WIZ	ZNF852	Bilateria
WIZ	ZNF467	Bilateria
WIZ	PRDM2	Bilateria
WIZ	ZNF426	Bilateria
WIZ	ZNF230	Bilateria
WIZ	ZNF155	Bilateria
WIZ	ZNF687	Bilateria
WIZ	ZNF527	Bilateria
WIZ	ZNF408	Bilateria
WIZ	ZNF285	Bilateria
WIZ	ZNF587	Bilateria
WIZ	ZNF417	Bilateria
WIZ	ZNF768	Bilateria
WIZ	ZNF407	Bilateria
WIZ	ZNF707	Bilateria
WIZ	MYNN	Bilateria
WIZ	ZNF319	Bilateria
WIZ	ZBTB41	Bilateria
ZBTB32	ZNF575	Opisthokonta
ZBTB32	PRDM1	Opisthokonta
ZBTB32	PRDM6	Opisthokonta
ZBTB32	ZBTB18	Opisthokonta
ZBTB32	ZBTB45	Opisthokonta
ZBTB32	ZNF76	Opisthokonta
ZBTB32	PATZ1	Opisthokonta
ZBTB32	ZFP91	Opisthokonta
ZBTB32	MTF1	Opisthokonta
ZBTB32	ZNF281	Opisthokonta
ZBTB32	ZBTB42	Opisthokonta
ZBTB32	ZNF148	Opisthokonta
ZBTB32	ZNF653	Opisthokonta
ZBTB32	PRDM10	Opisthokonta
ZBTB32	ZNF296	Opisthokonta
ZBTB32	ZBTB7C	Opisthokonta
ZBTB32	ZBTB20	Opisthokonta
ZBTB32	MAZ	Opisthokonta
ZBTB32	ZNF362	Opisthokonta
ZBTB32	ZNF143	Opisthokonta
ZBTB32	ZNF384	Opisthokonta
ZBTB32	ZNF692	Opisthokonta
ZBTB32	ZBTB1	Opisthokonta
ZBTB32	HIC1	Opisthokonta
ZBTB32	ZBTB16	Opisthokonta
ZBTB32	VEZF1	Opisthokonta
ZBTB32	SNAI3	Opisthokonta
ZBTB32	SNAI2	Opisthokonta
ZBTB32	SNAI1	Opisthokonta
ZBTB32	ZNF276	Opisthokonta
ZBTB32	HIC2	Opisthokonta
ZBTB32	PRDM14	Opisthokonta
ZBTB32	ZNF410	Opisthokonta
ZBTB32	ZNF451	Opisthokonta
ZBTB32	SCRT2	Opisthokonta
ZBTB32	SCRT1	Opisthokonta
NR1H4	THRA	Bilateria
NR1H4	RORB	Bilateria
NR1H4	PPARA	Bilateria
NR1H4	NR1H2	Bilateria
NR1H4	NR1D1	Bilateria
NR1H4	PPARG	Bilateria
NR1H4	VDR	Bilateria
NR1H4	RARB	Bilateria
NR1H4	PPARD	Bilateria
NR1H4	NR1D2	Bilateria
NR1H4	NR1H3	Bilateria
NR1H4	RORC	Bilateria
NR1H4	NR1I3	Bilateria
NR1H4	RARG	Bilateria
NR1H4	THRB	Bilateria
NR1H4	RARA	Bilateria
NR1H4	RORA	Bilateria
NR1H4	NR1I2	Bilateria
ISL1	ISL2	Vertebrata
SNAI2	ZBTB32	Opisthokonta
SNAI2	ZNF575	Opisthokonta
SNAI2	PRDM1	Opisthokonta
SNAI2	PRDM6	Opisthokonta
SNAI2	ZBTB18	Opisthokonta
SNAI2	ZBTB45	Opisthokonta
SNAI2	ZNF76	Opisthokonta
SNAI2	PATZ1	Opisthokonta
SNAI2	ZFP91	Opisthokonta
SNAI2	MTF1	Opisthokonta
SNAI2	ZNF281	Opisthokonta
SNAI2	ZBTB42	Opisthokonta
SNAI2	ZNF148	Opisthokonta
SNAI2	ZNF653	Opisthokonta
SNAI2	PRDM10	Opisthokonta
SNAI2	ZNF296	Opisthokonta
SNAI2	ZBTB7C	Opisthokonta
SNAI2	ZBTB20	Opisthokonta
SNAI2	MAZ	Opisthokonta
SNAI2	ZNF362	Opisthokonta
SNAI2	ZNF143	Opisthokonta
SNAI2	ZNF384	Opisthokonta
SNAI2	ZNF692	Opisthokonta
SNAI2	ZBTB1	Opisthokonta
SNAI2	HIC1	Opisthokonta
SNAI2	ZBTB16	Opisthokonta
SNAI2	VEZF1	Opisthokonta
SNAI2	SNAI1	Opisthokonta
SNAI2	ZNF276	Opisthokonta
SNAI2	HIC2	Opisthokonta
SNAI2	PRDM14	Opisthokonta
SNAI2	ZNF410	Opisthokonta
SNAI2	ZNF451	Opisthokonta
SNAI2	SCRT2	Opisthokonta
SNAI2	SCRT1	Opisthokonta
SNAI2	SNAI3	Gnathostomata
ZFP64	ZNF335	Bilateria
RUNX3	RUNX1	Bilateria
RUNX3	RUNX2	Bilateria
HSF2	HSF4	Opisthokonta
HSF2	HSF1	Opisthokonta
HSF2	HSFY1	Opisthokonta
HSF2	HSFY2	Opisthokonta
HSF2	HSFX4	Opisthokonta
HSF2	HSFX3	Opisthokonta
HSF2	HSFX2	Opisthokonta
HSF2	HSFX1	Opisthokonta
HSF2	HSF5	Opisthokonta
PHF20	PHF20L1	Bilateria
NR1H3	THRA	Bilateria
NR1H3	RORB	Bilateria
NR1H3	PPARA	Bilateria
NR1H3	NR1H2	Bilateria
NR1H3	NR1D1	Bilateria
NR1H3	PPARG	Bilateria
NR1H3	VDR	Bilateria
NR1H3	RARB	Bilateria
NR1H3	PPARD	Bilateria
NR1H3	NR1D2	Bilateria
NR1H3	RORC	Bilateria
NR1H3	NR1I3	Bilateria
NR1H3	NR1H4	Bilateria
NR1H3	RARG	Bilateria
NR1H3	THRB	Bilateria
NR1H3	RARA	Bilateria
NR1H3	RORA	Bilateria
NR1H3	NR1I2	Bilateria
POU2F2	POU4F3	Bilateria
POU2F2	POU3F2	Bilateria
POU2F2	POU2F3	Bilateria
POU2F2	POU1F1	Bilateria
POU2F2	POU2F1	Bilateria
POU2F2	POU6F1	Bilateria
POU2F2	POU3F4	Bilateria
POU2F2	POU6F2	Bilateria
POU2F2	POU3F3	Bilateria
POU2F2	POU5F2	Bilateria
POU2F2	CCDC160	Bilateria
POU2F2	POU4F1	Bilateria
POU2F2	POU3F1	Bilateria
POU2F2	POU5F1B	Bilateria
POU2F2	POU5F1	Bilateria
POU2F2	HDX	Bilateria
POU2F2	POU4F2	Bilateria
TBPL1	TBP	Opisthokonta
TBPL1	TBPL2	Opisthokonta
ARNTL2	ARNT	Bilateria
ARNTL2	NPAS2	Bilateria
ARNTL2	BMAL1	Bilateria
ARNTL2	PASD1	Bilateria
ARNTL2	ARNT2	Bilateria
ARNTL2	CLOCK	Bilateria
IKZF2	IKZF1	Bilateria
IKZF2	ZNF382	Bilateria
IKZF2	ZNF613	Bilateria
IKZF2	IKZF4	Bilateria
IKZF2	ZNF821	Bilateria
IKZF2	IKZF3	Bilateria
IKZF2	ZNF639	Bilateria
IKZF2	ZNF564	Bilateria
IKZF2	ZNF350	Bilateria
IKZF2	ZNF649	Bilateria
IKZF2	ZNF567	Bilateria
ZZZ3		
SOX30	SOX12	Bilateria
SOX30	SOX21	Bilateria
SOX30	SOX7	Bilateria
SOX30	SOX5	Bilateria
SOX30	SOX14	Bilateria
SOX30	SOX9	Bilateria
SOX30	SOX10	Bilateria
SOX30	SOX1	Bilateria
SOX30	CFAP65	Bilateria
SOX30	SOX11	Bilateria
SOX30	SOX2	Bilateria
SOX30	SOX18	Bilateria
SOX30	SOX3	Bilateria
SOX30	SOX8	Bilateria
SOX30	SOX15	Bilateria
SOX30	SOX13	Bilateria
SOX30	SOX4	Bilateria
SOX30	SRY	Bilateria
SOX30	SOX6	Bilateria
SOX30	SOX17	Bilateria
THAP3	THAP6	Bilateria
THAP3	THAP2	Bilateria
THAP3	THAP7	Bilateria
THAP3	THAP8	Bilateria
THAP3	ARL14EP	Bilateria
THAP3	THAP1	Bilateria
THAP3	ARL14EPL	Bilateria
BARX2	BARHL2	Bilateria
BARX2	BARHL1	Bilateria
BARX2	BARX1	Bilateria
ZIC2	AEBP2	Bilateria
ZIC2	GLIS1	Bilateria
ZIC2	GLIS2	Bilateria
ZIC2	GLIS3	Bilateria
ZIC2	ZIC5	Bilateria
ZIC2	ZIC4	Bilateria
ZIC2	GLI2	Bilateria
ZIC2	ZIC3	Bilateria
ZIC2	GLI3	Bilateria
ZIC2	ZIC1	Bilateria
ZIC2	ZXDC	Bilateria
ZIC2	GLI1	Bilateria
ZIC2	ZXDA	Bilateria
ZIC2	ZXDB	Bilateria
ZNF800		
FOXP3	FOXQ1	Opisthokonta
FOXP3	FOXF1	Opisthokonta
FOXP3	FOXI3	Opisthokonta
FOXP3	FOXO3	Opisthokonta
FOXP3	FOXO1	Opisthokonta
FOXP3	FOXB2	Opisthokonta
FOXP3	FOXA1	Opisthokonta
FOXP3	FOXM1	Opisthokonta
FOXP3	FOXA3	Opisthokonta
FOXP3	FOXJ2	Opisthokonta
FOXP3	FOXA2	Opisthokonta
FOXP3	FOXK1	Opisthokonta
FOXP3	FOXO6	Opisthokonta
FOXP3	FOXJ1	Opisthokonta
FOXP3	FOXK2	Opisthokonta
FOXP3	FOXC1	Opisthokonta
FOXP3	FOXP1	Opisthokonta
FOXP3	FOXH1	Opisthokonta
FOXP3	FOXS1	Opisthokonta
FOXP3	FOXC2	Opisthokonta
FOXP3	FOXD2	Opisthokonta
FOXP3	FOXO4	Opisthokonta
FOXP3	FOXD4L1	Opisthokonta
FOXP3	FOXD4L3	Opisthokonta
FOXP3	FOXD4L4	Opisthokonta
FOXP3	FOXD4L6	Opisthokonta
FOXP3	FOXD4L5	Opisthokonta
FOXP3	FOXD4	Opisthokonta
FOXP3	FOXN1	Opisthokonta
FOXP3	FOXL3	Opisthokonta
FOXP3	FOXR2	Opisthokonta
FOXP3	FOXL1	Opisthokonta
FOXP3	FOXI2	Opisthokonta
FOXP3	FOXR1	Opisthokonta
FOXP3	FOXL2	Opisthokonta
FOXP3	FOXD1	Opisthokonta
FOXP3	FOXD3	Opisthokonta
FOXP3	FOXE3	Opisthokonta
FOXP3	FOXE1	Opisthokonta
FOXP3	FOXJ3	Opisthokonta
FOXP3	FOXB1	Opisthokonta
NFE2L3	NFE2L1	Vertebrata
NFE2L3	NFE2	Chordata
NFE2L3	NFE2L2	Chordata
ALX4	PAX2	Bilateria
ALX4	UNCX	Bilateria
ALX4	RAX2	Bilateria
ALX4	DUXB	Bilateria
ALX4	RHOXF1	Bilateria
ALX4	PRRX1	Bilateria
ALX4	PAX1	Bilateria
ALX4	PAX9	Bilateria
ALX4	PAX4	Bilateria
ALX4	VSX2	Bilateria
ALX4	PAX6	Bilateria
ALX4	EVX1	Bilateria
ALX4	ESX1	Bilateria
ALX4	PRRX2	Bilateria
ALX4	OTP	Bilateria
ALX4	MIXL1	Bilateria
ALX4	PROP1	Bilateria
ALX4	HESX1	Bilateria
ALX4	DMBX1	Bilateria
ALX4	SHOX	Bilateria
ALX4	SHOX2	Bilateria
ALX4	PITX1	Bilateria
ALX4	DPRX	Bilateria
ALX4	ARX	Bilateria
ALX4	PAX8	Bilateria
ALX4	GSC2	Bilateria
ALX4	ALX1	Bilateria
ALX4	DRGX	Bilateria
ALX4	PAX7	Bilateria
ALX4	OTX2	Bilateria
ALX4	DUX4L9	Bilateria
ALX4	DUX4	Bilateria
ALX4	PHOX2A	Bilateria
ALX4	ISX	Bilateria
ALX4	RAX	Bilateria
ALX4	PAX5	Bilateria
ALX4	NOBOX	Bilateria
ALX4	CRX	Bilateria
ALX4	PITX2	Bilateria
ALX4	DUXA	Bilateria
ALX4	ARGFX	Bilateria
ALX4	PAX3	Bilateria
ALX4	RHOXF2	Bilateria
ALX4	RHOXF2B	Bilateria
ALX4	GSC	Bilateria
ALX4	EVX2	Bilateria
ALX4	OTX1	Bilateria
ALX4	PITX3	Bilateria
ALX4	ALX3	Bilateria
ALX4	PHOX2B	Bilateria
ALX4	SEBOX	Bilateria
FOXN3	FOXN2	Chordata
FOXN3	FOXN4	Chordata
FOXC1	FOXQ1	Opisthokonta
FOXC1	FOXF1	Opisthokonta
FOXC1	FOXI3	Opisthokonta
FOXC1	FOXO3	Opisthokonta
FOXC1	FOXO1	Opisthokonta
FOXC1	FOXB2	Opisthokonta
FOXC1	FOXA1	Opisthokonta
FOXC1	FOXM1	Opisthokonta
FOXC1	FOXA3	Opisthokonta
FOXC1	FOXJ2	Opisthokonta
FOXC1	FOXA2	Opisthokonta
FOXC1	FOXK1	Opisthokonta
FOXC1	FOXO6	Opisthokonta
FOXC1	FOXJ1	Opisthokonta
FOXC1	FOXK2	Opisthokonta
FOXC1	FOXP1	Opisthokonta
FOXC1	FOXH1	Opisthokonta
FOXC1	FOXS1	Opisthokonta
FOXC1	FOXC2	Opisthokonta
FOXC1	FOXD2	Opisthokonta
FOXC1	FOXO4	Opisthokonta
FOXC1	FOXD4L1	Opisthokonta
FOXC1	FOXD4L3	Opisthokonta
FOXC1	FOXD4L4	Opisthokonta
FOXC1	FOXD4L6	Opisthokonta
FOXC1	FOXD4L5	Opisthokonta
FOXC1	FOXD4	Opisthokonta
FOXC1	FOXN1	Opisthokonta
FOXC1	FOXL3	Opisthokonta
FOXC1	FOXR2	Opisthokonta
FOXC1	FOXL1	Opisthokonta
FOXC1	FOXP3	Opisthokonta
FOXC1	FOXI2	Opisthokonta
FOXC1	FOXR1	Opisthokonta
FOXC1	FOXL2	Opisthokonta
FOXC1	FOXD1	Opisthokonta
FOXC1	FOXD3	Opisthokonta
FOXC1	FOXE3	Opisthokonta
FOXC1	FOXE1	Opisthokonta
FOXC1	FOXJ3	Opisthokonta
FOXC1	FOXB1	Opisthokonta
ZNF280C	ZBTB6	Bilateria
ZNF280C	NACC2	Bilateria
ZNF280C	ZBTB14	Bilateria
ZNF280C	GFI1B	Bilateria
ZNF280C	ZNF280A	Bilateria
ZNF280C	ZNF580	Bilateria
ZNF280C	ZNF683	Bilateria
ZNF280C	ZNF581	Bilateria
ZNF280C	ZNF280B	Bilateria
ZNF280C	NACC1	Bilateria
ZNF280C	ZBTB26	Bilateria
ZNF280C	ZBTB25	Bilateria
ZNF280C	ZBTB3	Bilateria
ZNF280C	ZNF524	Bilateria
ZNF280C	ZNF280D	Bilateria
ZNF280C	ZBTB46	Bilateria
ZNF280C	GFI1	Bilateria
ZNF280C	ZBTB7B	Bilateria
ZNF280C	FEZF2	Bilateria
ZNF280C	BCL6B	Bilateria
ZNF280C	FEZF1	Bilateria
ZNF280C	ZBTB49	Bilateria
ZNF280C	ZBTB33	Bilateria
ZNF280C	BCL6	Bilateria
ZNF280C	PRDM12	Bilateria
ZNF280C	ZBTB21	Bilateria
ZNF280C	ZBTB12	Bilateria
ZNF280C	PRDM13	Bilateria
PRDM1	ZBTB32	Opisthokonta
PRDM1	ZNF575	Opisthokonta
PRDM1	PRDM6	Opisthokonta
PRDM1	ZBTB18	Opisthokonta
PRDM1	ZBTB45	Opisthokonta
PRDM1	ZNF76	Opisthokonta
PRDM1	PATZ1	Opisthokonta
PRDM1	ZFP91	Opisthokonta
PRDM1	MTF1	Opisthokonta
PRDM1	ZNF281	Opisthokonta
PRDM1	ZBTB42	Opisthokonta
PRDM1	ZNF148	Opisthokonta
PRDM1	ZNF653	Opisthokonta
PRDM1	PRDM10	Opisthokonta
PRDM1	ZNF296	Opisthokonta
PRDM1	ZBTB7C	Opisthokonta
PRDM1	ZBTB20	Opisthokonta
PRDM1	MAZ	Opisthokonta
PRDM1	ZNF362	Opisthokonta
PRDM1	ZNF143	Opisthokonta
